majorGroup,class,order,family_WFO,genus_PHY,species
A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonella,Polygonella articulata
A,Magnoliopsida,Caryophyllales,Fabaceae,Parogonum,Parogonum ciliinode
A,Magnoliopsida,Caryophyllales,Polygonaceae,Fallopia,Fallopia convolvulus
A,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria lapathifolia
A,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria pensylvanica
A,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria sagittata
A,Magnoliopsida,Caryophyllales,Polygonaceae,Fallopia,Fallopia scandens
A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,Polygonum tenue
A,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus balsamifera
A,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus deltoides
A,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus grandidentata
A,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla argentea
A,Magnoliopsida,Rosales,Rosaceae,Drymocallis,Drymocallis arguta
A,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla norvegica
A,Magnoliopsida,Rosales,Rosaceae,Comarum,Comarum palustre
A,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla recta
A,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla simplex
A,Magnoliopsida,Asterales,Asteraceae,Nabalus,Nabalus albus
A,Magnoliopsida,Asterales,Asteraceae,Nabalus,Nabalus racemosus
A,Magnoliopsida,Lamiales,Lamiaceae,Prunella,Prunella vulgaris
A,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus americana
A,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus pensylvanica
A,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus pumila
A,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus serotina
A,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus virginiana
A,Magnoliopsida,Lamiales,Lamiaceae,Pycnanthemum,Pycnanthemum virginianum
A,Magnoliopsida,Ericales,Ericaceae,Pyrola,Pyrola rotundifolia
A,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus alba
A,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus petraea
A,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus ellipsoidalis
A,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus macrocarpa
A,Magnoliopsida,Asterales,Asteraceae,Ratibida,Ratibida pinnata
A,Magnoliopsida,Rosales,Rhamnaceae,Frangula,Frangula alnus
A,Magnoliopsida,Sapindales,Anacardiaceae,Rhus,Rhus glabra
A,Magnoliopsida,Sapindales,Anacardiaceae,Toxicodendron,Toxicodendron radicans
A,Magnoliopsida,Saxifragales,Grossulariaceae,Ribes,Ribes hirtellum
A,Magnoliopsida,Fabales,Fabaceae,Robinia,Robinia pseudoacacia
A,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa arkansana
A,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa blanda
A,Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa carolina
A,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus allegheniensis
A,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus canadensis
A,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus flagellaris
A,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus idaeus
A,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus occidentalis
A,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus pubescens
A,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex acetosella
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix bebbiana
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix discolor
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix petiolaris
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix humilis
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix interior
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix pedicellaris
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix pyrifolia
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix serissima
A,Magnoliopsida,Caryophyllales,Amaranthaceae,Salsola,Salsola kali
A,Liliopsida,Poales,Poaceae,Schizachne,Schizachne purpurascens
A,Liliopsida,Poales,Poaceae,Schizachyrium,Schizachyrium scoparium
A,Liliopsida,Poales,Cyperaceae,Scirpus,Scirpus cyperinus
A,Liliopsida,Poales,Cyperaceae,Eleocharis,Eleocharis geniculata
A,Liliopsida,Poales,Cyperaceae,Scleria,Scleria triglomerata
A,Magnoliopsida,Lamiales,Lamiaceae,Scutellaria,Scutellaria galericulata
A,Magnoliopsida,Lamiales,Lamiaceae,Scutellaria,Scutellaria lateriflora
A,Magnoliopsida,Lamiales,Lamiaceae,Scutellaria,Scutellaria parvula
A,Liliopsida,Poales,Poaceae,Secale,Secale cereale
A,Liliopsida,Poales,Poaceae,Secale,Secale vavilovii
A,Magnoliopsida,Asterales,Asteraceae,Packera,Packera aurea
A,Magnoliopsida,Asterales,Asteraceae,Packera,Packera paupercula
A,Liliopsida,Poales,Poaceae,Setaria,Setaria italica
A,Liliopsida,Poales,Poaceae,Setaria,Setaria viridis
A,Magnoliopsida,Brassicales,Brassicaceae,Sisymbrium,Sisymbrium altissimum
A,Liliopsida,Asparagales,Iridaceae,Sisyrinchium,Sisyrinchium campestre
A,Liliopsida,Liliales,Smilacaceae,Smilax,Smilax herbacea
A,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum americanum
A,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum dulcamara
A,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago gigantea
A,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago juncea
A,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago nemoralis
A,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago rigida
A,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago speciosa
A,Magnoliopsida,Asterales,Asteraceae,Sonchus,Sonchus arvensis
A,Liliopsida,Poales,Poaceae,Sorghastrum,Sorghastrum nutans
A,Liliopsida,Poales,Poaceae,Sporobolus,Sporobolus michauxianus
A,Magnoliopsida,Rosales,Rosaceae,Spiraea,Spiraea alba
A,Magnoliopsida,Rosales,Rosaceae,Spiraea,Spiraea tomentosa
A,Liliopsida,Poales,Poaceae,Sporobolus,Sporobolus cryptandrus
A,Liliopsida,Poales,Poaceae,Sporobolus,Sporobolus heterolepis
A,Magnoliopsida,Lamiales,Lamiaceae,Stachys,Stachys palustris
A,Magnoliopsida,Lamiales,Lamiaceae,Stachys,Stachys tenuifolia
A,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,Stellaria longifolia
A,Liliopsida,Poales,Poaceae,Hesperostipa,Hesperostipa comata
A,Liliopsida,Poales,Poaceae,Hesperostipa,Hesperostipa spartea
A,Liliopsida,Poales,Poaceae,Trachypogon,Trachypogon spicatus
A,Liliopsida,Liliales,Liliaceae,Streptopus,Streptopus lanceolatus
A,Magnoliopsida,Fabales,Fabaceae,Strophostyles,Strophostyles leiosperma
A,Magnoliopsida,Ranunculales,Ranunculaceae,Thalictrum,Thalictrum dasycarpum
A,Magnoliopsida,Ranunculales,Ranunculaceae,Thalictrum,Thalictrum dioicum
A,Liliopsida,Commelinales,Commelinaceae,Tradescantia,Tradescantia bracteata
A,Liliopsida,Commelinales,Commelinaceae,Tradescantia,Tradescantia occidentalis
A,Magnoliopsida,Malpighiales,Hypericaceae,Triadenum,Triadenum fraseri
A,Magnoliopsida,Ericales,Primulaceae,Lysimachia,Lysimachia borealis
A,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium arvense
A,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium hybridum
A,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium pratense
A,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium repens
A,Magnoliopsida,Rosales,Ulmaceae,Ulmus,Ulmus americana
A,Magnoliopsida,Rosales,Ulmaceae,Ulmus,Ulmus pumila
A,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium angustifolium
A,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium myrtilloides
A,Magnoliopsida,Lamiales,Verbenaceae,Verbena,Verbena stricta
A,Magnoliopsida,Lamiales,Plantaginaceae,Veronicastrum,Veronicastrum virginicum
A,Magnoliopsida,Dipsacales,Viburnaceae,Viburnum,Viburnum lentago
A,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia sativa
A,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia villosa
A,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola macloskeyi
A,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola palustris
A,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola pedata
A,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola pedatifida
A,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola selkirkii
A,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis vulpina
A,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,Zanthoxylum americanum
A,Magnoliopsida,Apiales,Apiaceae,Zizia,Zizia aptera
A,Magnoliopsida,Rosales,Rosaceae,Amelanchier,Amelanchier interior
A,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia campestris
A,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua hirsuta
A,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium altissimum
A,Magnoliopsida,Malvales,Cistaceae,Crocanthemum,Crocanthemum bicknellii
A,Magnoliopsida,Fabales,Fabaceae,Dalea,Dalea candida
A,Liliopsida,Poales,Poaceae,Dichanthelium,Dichanthelium linearifolium
A,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron philadelphicus
A,Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium concinnum
A,Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium obtusum
A,Magnoliopsida,Boraginales,Boraginaceae,Hackelia,Hackelia virginiana
A,Liliopsida,Poales,Poaceae,Koeleria,Koeleria pyramidata
A,Magnoliopsida,Fabales,Fabaceae,Melilotus,Melilotus albus
A,Magnoliopsida,Asterales,Asteraceae,Echinacea,Echinacea purpurea
A,Magnoliopsida,Asterales,Asteraceae,Vernonia,Vernonia fasciculata
A,Magnoliopsida,Brassicales,Brassicaceae,Boechera,Boechera divaricarpa
A,Liliopsida,Poales,Poaceae,Aristida,Aristida basiramea
A,Liliopsida,Poales,Poaceae,Aristida,Aristida tuberculosa
A,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens trichosperma
A,Liliopsida,Poales,Poaceae,Sporobolus,Sporobolus rigidus
A,Liliopsida,Poales,Poaceae,Eragrostis,Eragrostis trichodes
A,Liliopsida,Asparagales,Orchidaceae,Platanthera,Platanthera lacera
A,Magnoliopsida,Boraginales,Boraginaceae,Hackelia,Hackelia deflexa
A,Magnoliopsida,Lamiales,Lamiaceae,Hedeoma,Hedeoma hispida
A,Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus giganteus
A,Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus petiolaris
A,Magnoliopsida,Malpighiales,Hypericaceae,Hypericum,Hypericum majus
A,Magnoliopsida,Malvales,Cistaceae,Lechea,Lechea stricta
A,Magnoliopsida,Asterales,Campanulaceae,Lobelia,Lobelia spicata
A,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera rhombipetala
A,Magnoliopsida,Fabales,Fabaceae,Dalea,Dalea villosa
A,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala sanguinea
A,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex britannica
A,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes pensylvanica
A,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago altissima
A,Liliopsida,Poales,Poaceae,Festuca,Festuca guestphalica
A,Magnoliopsida,Boraginales,Boraginaceae,Lithospermum,Lithospermum caroliniense
A,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola sagittata
A,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer sp.
A,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea sp.
A,Magnoliopsida,Rosales,Rosaceae,Agrimonia,Agrimonia sp.
A,Liliopsida,Poales,Poaceae,Agrostis,Agrostis sp.
A,Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium sp.
A,Magnoliopsida,Rosales,Rosaceae,Amelanchier,Amelanchier spicata
A,Magnoliopsida,Rosales,Rosaceae,Amelanchier,Amelanchier sp.
A,Magnoliopsida,Ranunculales,Ranunculaceae,Pulsatilla,Anemone patens
A,Magnoliopsida,Asterales,Asteraceae,Antennaria,Antennaria sp.
A,Magnoliopsida,Gentianales,Apocynaceae,Gymnema,Gymnema sp.
A,Magnoliopsida,Brassicales,Brassicaceae,Boechera,Arabis divaricarpa
A,Magnoliopsida,Brassicales,Brassicaceae,Arabis,Arabis sp.
A,Liliopsida,Poales,Poaceae,Aristida,Aristida sp.
A,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia sp.
A,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias sp.
A,Magnoliopsida,Asterales,Asteraceae,Aster,Aster sp.
A,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens sp.
A,Liliopsida,Poales,Poaceae,Bouteloua,Chondrosum hirsutum
A,Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua sp.
A,Liliopsida,Poales,Poaceae,Bromus,Bromus sp.
A,Liliopsida,Poales,Poaceae,Bouteloua,Buchloe dactyloides
A,Liliopsida,Poales,Poaceae,Calamagrostis,Calamagrostis inexpansa
A,Liliopsida,Poales,Poaceae,Calamagrostis,Calamagrostis sp.
A,Liliopsida,Poales,Poaceae,Calamovilfa,Calamovilfa longifolia
A,Liliopsida,Poales,Poaceae,Sporobolus,Sporobolus sp.
A,Magnoliopsida,Asterales,Campanulaceae,Palustricodon,Campanula aparinoides
A,Magnoliopsida,Asterales,Campanulaceae,Palustricodon,Campanula sp.
A,Magnoliopsida,Myrtales,Combretaceae,Combretum,Combretum sp.
A,Liliopsida,Poales,Cyperaceae,Carex,Carex sp.
A,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodiastrum,Chenopodium hybridum
A,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodium,Chenopodium sp.
A,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium sp.
A,Magnoliopsida,Apiales,Apiaceae,Heptaptera,Colladonia sp.
A,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus sp.
A,Magnoliopsida,Caryophyllales,Amaranthaceae,Dysphania,Cycloloma atriplicifolium
A,Liliopsida,Poales,Cyperaceae,Cyperus,Cyperus sp.
A,Magnoliopsida,Fabales,Fabaceae,Hylodesmum,Desmodium glutinosum
A,Liliopsida,Poales,Poaceae,Digitaria,Digitaria sp.
A,Liliopsida,Poales,Cyperaceae,Eleocharis,Eleocharis sp.
A,Liliopsida,Poales,Poaceae,Elymus,Elymus trachycaulus
A,Magnoliopsida,Myrtales,Onagraceae,Epilobium,Epilobium sp.
A,Magnoliopsida,Asterales,Asteraceae,Erechtites,Erechtites hieracifolia
A,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron sp.
A,Magnoliopsida,Asterales,Asteraceae,Eutrochium,Eupatorium maculatum
A,Magnoliopsida,Asterales,Asteraceae,Ageratina,Ageratina liebmannii
A,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia sp.
A,Liliopsida,Poales,Poaceae,Festuca,Festuca sp.
A,Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria sp.
A,Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium sp.
A,Liliopsida,Poales,Poaceae,Glyceria,Glyceria sp.
A,Magnoliopsida,Asterales,Asteraceae,Gamochaeta,Gnaphalium purpureum
A,Magnoliopsida,Asterales,Asteraceae,Gnaphalium,Gnaphalium sp.
A,Magnoliopsida,Asterales,Asteraceae,Hieracium,Hieracium crassescens
A,Magnoliopsida,Malvales,Cistaceae,Crocanthemum,Helianthemum bicknellii
A,Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus laetiflorus
A,Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus sp.
A,Magnoliopsida,Asterales,Asteraceae,Hieracium,Hieracium sp.
A,Liliopsida,Poales,Poaceae,Anthoxanthum,Hierochloe odorata
A,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,Ilex sp.
A,Liliopsida,Poales,Juncaceae,Juncus,Juncus sp.
G,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus sp.
A,Liliopsida,Poales,Poaceae,Cinnagrostis,Koeleria micrathera
A,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca sp.
A,Magnoliopsida,Brassicales,Brassicaceae,Leavenworthia,Leavenworthia sp.
A,Liliopsida,Alismatales,Araceae,Lemna,Lemna sp.
A,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,Lepidium sp.
A,Magnoliopsida,Apiales,Apiaceae,Lichtensteinia,Lichtensteinia sp.
A,Magnoliopsida,Boraginales,Boraginaceae,Lithospermum,Lithospermum sp.
A,Magnoliopsida,Fabales,Fabaceae,Lupinus,Lupinus sp.
A,Magnoliopsida,Lamiales,Lamiaceae,Lycopus,Lycopus sp.
A,Magnoliopsida,Fabales,Fabaceae,Medicago,Medicago sp.
A,Magnoliopsida,Fabales,Fabaceae,Melilotus,Melilotus sp.
A,Magnoliopsida,Caryophyllales,Nyctaginaceae,Mirabilis,Mirabilis hirsuta
A,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus giganteus
A,Liliopsida,Poales,Cyperaceae,Carex,Carex lativena
A,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera sp.
A,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,Oxalis sp.
A,Liliopsida,Poales,Poaceae,Panicum,Panicum acuminatum
A,Liliopsida,Poales,Poaceae,Dichanthelium,Panicum leibergii
A,Liliopsida,Poales,Poaceae,Dichanthelium,Panicum oligosanthes
A,Liliopsida,Poales,Poaceae,Dichanthelium,Panicum perlongum
A,Liliopsida,Poales,Poaceae,Panicum,Panicum sp.
A,Magnoliopsida,Vitales,Vitaceae,Parthenocissus,Parthenocissus sp.
A,Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis,Pedicularis sp.
A,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon grandiflorus
A,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon sp.
A,Magnoliopsida,Fabales,Fabaceae,Dalea,Petalostemon candidus
A,Magnoliopsida,Fabales,Fabaceae,Dalea,Petalostemon purpureus
A,Magnoliopsida,Fabales,NA,Petalostemum,Petalostemum sp.
A,Magnoliopsida,Ericales,Polemoniaceae,Phlox,Phlox sp.
A,Magnoliopsida,Solanales,Solanaceae,Physalis,Physalis sp.
G,Pinopsida,Pinales,Pinaceae,Picea,Picea sp.
G,Pinopsida,Pinales,Pinaceae,Pinus,Pinus sp.
A,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago sp.
A,Liliopsida,Poales,Poaceae,Poa,Poa sp.
A,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala sp.
A,Liliopsida,Asparagales,Asparagaceae,Polygonatum,Polygonatum sp.
A,Magnoliopsida,Caryophyllales,Polygonaceae,Parogonum,Fallopia cilinodis
A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,Polygonum sp.
A,Magnoliopsida,Rosales,Rosaceae,Drymocallis,Potentilla arguta
A,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla sp.
A,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus sp.
A,Magnoliopsida,Ericales,Ericaceae,Pyrola,Pyrola sp.
A,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus sp.
A,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus rhomboideus
A,Magnoliopsida,Rosales,Rhamnaceae,Rhamnus,Rhamnus sp.
A,Magnoliopsida,Sapindales,Anacardiaceae,Rhus,Rhus sp.
A,Magnoliopsida,Caryophyllales,Aizoaceae,Roosia,Roosia sp.
A,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus sp.
A,Magnoliopsida,Asterales,Asteraceae,Echinacea,Echinacea serotina
A,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex mexicanus
A,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex sp.
A,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix sp.
A,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Saxifraga pensylvanica
A,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio aureus
A,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio sp.
A,Liliopsida,Poales,Poaceae,Cenchrus,Pennisetum glaucum
A,Liliopsida,Poales,Poaceae,Setaria,Setaria sp.
A,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,Silene sp.
A,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago sp.
A,Liliopsida,Poales,Poaceae,Sporobolus,Spartina pectinata
A,Magnoliopsida,Lamiales,Lamiaceae,Stachys,Stachys sp.
A,Magnoliopsida,Asterales,Asteraceae,Taraxacum,Taraxacum sp.
A,Magnoliopsida,Asterales,Asteraceae,Taraxacum,Taraxacum campylodes
A,Liliopsida,Commelinales,Commelinaceae,Tradescantia,Tradescantia sp.
A,Magnoliopsida,Asterales,Asteraceae,Tragopogon,Tragopogon duarius
A,Magnoliopsida,Ericales,Primulaceae,Lysimachia,Trientalis borealis
A,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium sp.
A,Liliopsida,Poales,Typhaceae,Typha,Typha sp.
A,Magnoliopsida,Rosales,Ulmaceae,Ulmus,Ulmus sp.
A,Magnoliopsida,Lamiales,Lentibulariaceae,Utricularia,Utricularia sp.
A,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium sp.
A,Magnoliopsida,Malpighiales,Violaceae,Viola,Viola sp.
A,Liliopsida,Poales,Xyridaceae,Xyris,Xyris torta
A,Magnoliopsida,Asterales,Asteraceae,Hieracium,Pilosella longipila
A,Liliopsida,Poales,Poaceae,Dichanthelium,Dichanthelium praecocius
A,Liliopsida,Poales,Poaceae,Andropogon,Andropogon gerardii
A,Magnoliopsida,Fabales,Fabaceae,Amphicarpaea,Amphicarpa bracteata
A,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia setifolia
A,Magnoliopsida,Ranunculales,Ranunculaceae,Pulsatilla,Pulsatilla patens
A,Magnoliopsida,Vitales,Vitaceae,Parthenocissus,Parthenocissus vitacea
A,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon cobaea
A,Magnoliopsida,Caryophyllales,Cactaceae,Deamia,Demia testudo
A,Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium asperellum
A,Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium trifolium
