family,genus,species
Sapindaceae,Acer,Acer negundo
Sapindaceae,Acer,Acer rubrum
Asteraceae,Achillea,Achillea millefolium
Lamiaceae,Agastache,Agastache foeniculum
Poaceae,Elymus,Elymus repens
Poaceae,Elymus,Elymus smithii
Poaceae,Poa,Poa nemoralis
Poaceae,Agrostis,Agrostis scabra
Amaryllidaceae,Allium,Allium cernuum
Amaryllidaceae,Allium,Allium stellatum
Betulaceae,Alnus,Alnus incana
Amaranthaceae,Amaranthus,Amaranthus retroflexus
Asteraceae,Ambrosia,Ambrosia artemisiifolia
Asteraceae,Ambrosia,Ambrosia psilostachya
Rosaceae,Amelanchier,Amelanchier alnifolia
Rosaceae,Amelanchier,Amelanchier arborea
Rosaceae,Amelanchier,Amelanchier spicata
Rosaceae,Amelanchier,Amelanchier laevis
Rosaceae,Amelanchier,Amelanchier sanguinea
Fabaceae,Amorpha,Amorpha canescens
Fabaceae,Amphicarpaea,Amphicarpaea bracteata
Poaceae,Andropogon,Andropogon gerardi
Ranunculaceae,Anemone,Anemone cylindrica
Ranunculaceae,Anemone,Anemone patens
Ranunculaceae,Anemone,Anemone quinquefolia
Ranunculaceae,Anemone,Anemone virginiana
Asteraceae,Antennaria,Antennaria parlinii
Asteraceae,Antennaria,Antennaria neglecta
Asteraceae,Antennaria,Antennaria plantaginifolia
Apocynaceae,Apocynum,Apocynum androsaemifolium
Apocynaceae,Apocynum,Apocynum cannabinum
Ranunculaceae,Aquilegia,Aquilegia canadensis
Brassicaceae,Boechera,Boechera divaricarpa
Brassicaceae,Turritis,Turritis glabra
Brassicaceae,Arabis,Arabis hirsuta
Araliaceae,Aralia,Aralia nudicaulis
Caryophyllaceae,Moehringia,Moehringia lateriflora
Poaceae,Aristida,Aristida basiramea
Poaceae,Aristida,Aristida tuberculosa
Rosaceae,Aronia,Aronia melanocarpa
Asteraceae,Artemisia,Artemisia ludoviciana
Apocynaceae,Asclepias,Asclepias exaltata
Apocynaceae,Asclepias,Asclepias incarnata
Apocynaceae,Asclepias,Asclepias ovalifolia
Apocynaceae,Asclepias,Asclepias syriaca
Apocynaceae,Asclepias,Asclepias tuberosa
Apocynaceae,Asclepias,Asclepias verticillata
Apocynaceae,Asclepias,Asclepias viridiflora
Asparagaceae,Asparagus,Asparagus officinalis
Asteraceae,Symphyotrichum,Symphyotrichum oolentangiense
Asteraceae,Symphyotrichum,Symphyotrichum ericoides
Asteraceae,Symphyotrichum,Symphyotrichum boreale
Asteraceae,Symphyotrichum,Symphyotrichum lanceolatum
Asteraceae,Eurybia,Eurybia macrophylla
Asteraceae,Symphyotrichum,Symphyotrichum novae-angliae
Asteraceae,Solidago,Solidago ptarmicoides
Asteraceae,Symphyotrichum,Symphyotrichum puniceum
Asteraceae,Doellingeria,Doellingeria umbellata
Fabaceae,Astragalus,Astragalus canadensis
Fabaceae,Baptisia,Baptisia alba
Brassicaceae,Barbarea,Barbarea vulgaris
Brassicaceae,Berteroa,Berteroa incana
Betulaceae,Betula,Betula alleghaniensis
Betulaceae,Betula,Betula papyrifera
Betulaceae,Betula,Betula pumila
Asteraceae,Bidens,Bidens cernua
Asteraceae,Bidens,Bidens trichosperma
Asteraceae,Bidens,Bidens tripartita
Poaceae,Bouteloua,Bouteloua curtipendula
Poaceae,Bouteloua,Bouteloua aristidoides
Poaceae,Chondrosum,Chondrosum hirsutum
Poaceae,Bromus,Bromus ciliatus
Poaceae,Bromus,Bromus inermis
Poaceae,Bromus,Bromus kalmii
Poaceae,Bromus,Bromus tectorum
Poaceae,Bouteloua,Bouteloua dactyloides
Poaceae,Calamagrostis,Calamagrostis canadensis
Poaceae,Calamagrostis,Calamagrostis stricta
Poaceae,Sporobolus,Sporobolus rigidus
Ranunculaceae,Caltha,Caltha palustris
Campanulaceae,Campanula,Campanula aparinoides
Campanulaceae,Campanula,Campanula rotundifolia
Brassicaceae,Capsella,Capsella bursa-pastoris
Cyperaceae,Carex,Carex bebbii
Cyperaceae,Carex,Carex bicknellii
Cyperaceae,Carex,Carex canescens
Cyperaceae,Carex,Carex echinata
Cyperaceae,Carex,Carex chordorrhiza
Cyperaceae,Carex,Carex comosa
Cyperaceae,Carex,Carex diandra
Cyperaceae,Carex,Carex disperma
Cyperaceae,Carex,Carex foenea
Cyperaceae,Carex,Carex gracillima
Cyperaceae,Carex,Carex haydenii
Cyperaceae,Carex,Carex interior
Cyperaceae,Carex,Carex lacustris
Cyperaceae,Carex,Carex lasiocarpa
Cyperaceae,Carex,Carex vulpinoidea
Cyperaceae,Carex,Carex oligosperma
Cyperaceae,Carex,Carex pensylvanica
Cyperaceae,Carex,Carex rostrata
Cyperaceae,Carex,Carex scoparia
Cyperaceae,Carex,Carex stricta
Fabaceae,Chamaecrista,Chamaecrista fasciculata
Rhamnaceae,Ceanothus,Ceanothus americanus
Celastraceae,Celastrus,Celastrus scandens
Poaceae,Cenchrus,Cenchrus longispinus
Ericaceae,Chamaedaphne,Chamaedaphne calyculata
Amaranthaceae,Chenopodium,Chenopodium album
Amaranthaceae,Chenopodiastrum,Chenopodiastrum hybridum
Amaranthaceae,Chenopodium,Chenopodium leptophyllum
Asteraceae,Heterotheca,Heterotheca villosa
Apiaceae,Cicuta,Cicuta bulbifera
Onagraceae,Circaea,Circaea lutetiana
Asteraceae,Cirsium,Cirsium arvense
Asteraceae,Cirsium,Cirsium discolor
Santalaceae,Comandra,Comandra umbellata
Convolvulaceae,Convolvulus,Convolvulus arvensis
Asteraceae,Erigeron,Erigeron canadensis
Asteraceae,Coreopsis,Coreopsis palmata
Cornaceae,Cornus,Cornus alternifolia
Cornaceae,Cornus,Cornus racemosa
Cornaceae,Cornus,Cornus sericea
Betulaceae,Corylus,Corylus americana
Asteraceae,Crepis,Crepis tectorum
Amaranthaceae,Dysphania,Dysphania atriplicifolia
Cyperaceae,Cyperus,Cyperus filiculmis
Cyperaceae,Cyperus,Cyperus schweinitzii
Cyperaceae,Cyperus,Cyperus strigosus
Poaceae,Danthonia,Danthonia spicata
Ranunculaceae,Delphinium,Delphinium carolinianum
Fabaceae,Desmodium,Desmodium canadense
Fabaceae,Hylodesmum,Hylodesmum glutinosum
Poaceae,Digitaria,Digitaria ischaemum
Poaceae,Digitaria,Digitaria sanguinalis
Cyperaceae,Dulichium,Dulichium arundinaceum
Asteraceae,Echinacea,Echinacea purpurea
Poaceae,Elymus,Elymus canadensis
Poaceae,Elymus,Elymus violaceus
Onagraceae,Chamaenerion,Chamaenerion angustifolium
Onagraceae,Epilobium,Epilobium ciliatum
Onagraceae,Epilobium,Epilobium leptophyllum
Poaceae,Eragrostis,Eragrostis spectabilis
Poaceae,Eragrostis,Eragrostis trichodes
Asteraceae,Erechtites,Erechtites hieracifolia
Asteraceae,Erigeron,Erigeron annuus
Asteraceae,Erigeron,Erigeron strigosus
Asteraceae,Eutrochium,Eutrochium maculatum
Asteraceae,Eupatorium,Eupatorium perfoliatum
Asteraceae,Ageratina,Ageratina liebmannii
Euphorbiaceae,Euphorbia,Euphorbia corollata
Euphorbiaceae,Euphorbia,Euphorbia geyeri
Euphorbiaceae,Euphorbia,Euphorbia glyptosperma
Asteraceae,Euthamia,Euthamia graminifolia
Poaceae,Festuca,Festuca ovina
Poaceae,Festuca,Festuca guestfalica
Poaceae,Festuca,Festuca rubra
Rosaceae,Fragaria,Fragaria vesca
Rosaceae,Fragaria,Fragaria virginiana
Oleaceae,Fraxinus,Fraxinus americana
Oleaceae,Fraxinus,Fraxinus nigra
Oleaceae,Fraxinus,Fraxinus pennsylvanica
Gesneriaceae,Seemannia,Seemannia sylvatica
Rubiaceae,Galium,Galium aparine
Rubiaceae,Galium,Galium boreale
Rubiaceae,Galium,Galium trifidum
Rubiaceae,Galium,Galium triflorum
Gentianaceae,Gentiana,Gentiana andrewsii
Geraniaceae,Geranium,Geranium maculatum
Lamiaceae,Glechoma,Glechoma hederacea
Poaceae,Glyceria,Glyceria grandis
Asteraceae,Gamochaeta,Gamochaeta purpurea
Asteraceae,Gnaphalium,Gnaphalium uliginosum
Asteraceae,Hieracium,Hieracium crassescens
Orchidaceae,Platanthera,Platanthera lacera
Boraginaceae,Hackelia,Hackelia deflexa
Lamiaceae,Hedeoma,Hedeoma hispida
Asteraceae,Helenium,Helenium autumnale
Cistaceae,Helianthemum,Helianthemum bicknellii
Asteraceae,Helianthus,Helianthus giganteus
Asteraceae,Helianthus,Helianthus hirsutus
Asteraceae,Helianthus,Helianthus laetiflorus
Asteraceae,Helianthus,Helianthus petiolaris
Asteraceae,Heliopsis,Heliopsis helianthoides
Saxifragaceae,Heuchera,Heuchera richardsonii
Asteraceae,Pilosella,Pilosella aurantiaca
Asteraceae,Hieracium,Hieracium umbellatum
Asteraceae,Hieracium,Hieracium longipilum
Poaceae,Anthoxanthum,Anthoxanthum nitens
Rubiaceae,Houstonia,Houstonia longifolia
Hypericaceae,Hypericum,Hypericum majus
Hypoxidaceae,Hypoxis,Hypoxis hirsuta
Aquifoliaceae,Ilex,Ilex verticillata
Balsaminaceae,Impatiens,Impatiens capensis
Iridaceae,Iris,Iris versicolor
Juncaceae,Juncus,Juncus tenuis
Cupressaceae,Juniperus,Juniperus communis
Cupressaceae,Juniperus,Juniperus virginiana
Poaceae,Koeleria,Koeleria micrathera
Asteraceae,Krigia,Krigia biflora
Asteraceae,Lactuca,Lactuca biennis
Asteraceae,Lactuca,Lactuca canadensis
Asteraceae,Lactuca,Lactuca serriola
Pinaceae,Larix,Larix laricina
Fabaceae,Lathyrus,Lathyrus ochroleucus
Fabaceae,Lathyrus,Lathyrus venosus
Cistaceae,Lechea,Lechea stricta
Poaceae,Leersia,Leersia oryzoides
Brassicaceae,Lepidium,Lepidium densiflorum
Brassicaceae,Lepidium,Lepidium virginicum
Poaceae,Digitaria,Digitaria cognata
Fabaceae,Lespedeza,Lespedeza capitata
Asteraceae,Liatris,Liatris aspera
Asteraceae,Liatris,Liatris ligulistylis
Asteraceae,Liatris,Liatris pycnostachya
Plantaginaceae,Linaria,Linaria vulgaris
Boraginaceae,Lithospermum,Lithospermum canescens
Boraginaceae,Lithospermum,Lithospermum caroliniense
Boraginaceae,Lithospermum,Lithospermum carolinense
Campanulaceae,Lobelia,Lobelia siphilitica
Campanulaceae,Lobelia,Lobelia spicata
Poaceae,Lolium,Lolium multiflorum
Caprifoliaceae,Lonicera,Lonicera dioica
Caprifoliaceae,Lonicera,Lonicera tatarica
Caprifoliaceae,Lonicera,Lonicera morrowii
Onagraceae,Ludwigia,Ludwigia polycarpa
Fabaceae,Lupinus,Lupinus perennis
Caryophyllaceae,Silene,Silene latifolia
Lycopodiaceae,Lycopodium,Lycopodium complanatum
Lamiaceae,Lycopus,Lycopus americanus
Lamiaceae,Lycopus,Lycopus uniflorus
Primulaceae,Lysimachia,Lysimachia ciliata
Primulaceae,Lysimachia,Lysimachia thyrsiflora
Asparagaceae,Maianthemum,Maianthemum canadense
Fabaceae,Medicago,Medicago lupulina
Fabaceae,Medicago,Medicago sativa
Fabaceae,Melilotus,Melilotus officinalis
Phrymaceae,Mimulus,Mimulus ringens
Nyctaginaceae,Mirabilis,Mirabilis albida
Nyctaginaceae,Mirabilis,Mirabilis nyctaginea
Poaceae,Miscanthus,Miscanthus giganteus
Molluginaceae,Mollugo,Mollugo verticillata
Lamiaceae,Monarda,Monarda fistulosa
Lamiaceae,Monarda,Monarda punctata
Lamiaceae,Mosla,Mosla dianthera
Poaceae,Muhlenbergia,Muhlenbergia racemosa
Cyperaceae,Carex,Carex lativena
Lamiaceae,Nepeta,Nepeta cataria
Onagraceae,Oenothera,Oenothera biennis
Onagraceae,Oenothera,Oenothera parviflora
Onagraceae,Oenothera,Oenothera rhombipetala
Oxalidaceae,Oxalis,Oxalis stricta
Poaceae,Panicum,Panicum capillare
Poaceae,Dichanthelium,Dichanthelium acuminatum
Poaceae,Panicum,Panicum leibergii
Poaceae,Panicum,Panicum miliaceum
Poaceae,Dichanthelium,Dichanthelium oligosanthes
Poaceae,Panicum,Panicum perlongum
Poaceae,Panicum,Panicum virgatum
Urticaceae,Parietaria,Parietaria pensylvanica
Vitaceae,Parthenocissus,Parthenocissus inserta
Vitaceae,Parthenocissus,Parthenocissus quinquefolia
Poaceae,Paspalum,Paspalum setaceum
Orobanchaceae,Pedicularis,Pedicularis canadensis
Plantaginaceae,Penstemon,Penstemon digitalis
Plantaginaceae,Penstemon,Penstemon gracilis
Plantaginaceae,Penstemon,Penstemon grandiflorus
Penthoraceae,Penthorum,Penthorum sedoides
Fabaceae,Petalostemon,Petalostemon candidus
Fabaceae,Dalea,Dalea purpurea
Fabaceae,Dalea,Dalea villosa
Poaceae,Phalaris,Phalaris arundinacea
Poaceae,Phleum,Phleum pratense
Polemoniaceae,Phlox,Phlox paniculata
Polemoniaceae,Phlox,Phlox pilosa
Phrymaceae,Phryma,Phryma leptostachya
Solanaceae,Physalis,Physalis pubescens
Solanaceae,Physalis,Physalis virginiana
Urticaceae,Pilea,Pilea pumila
Pinaceae,Pinus,Pinus banksiana
Pinaceae,Pinus,Pinus resinosa
Pinaceae,Pinus,Pinus strobus
Plantaginaceae,Plantago,Plantago lanceolata
Plantaginaceae,Plantago,Plantago major
Poaceae,Poa,Poa compressa
Poaceae,Poa,Poa palustris
Poaceae,Poa,Poa pratensis
Polygalaceae,Polygala,Polygala polygama
Polygalaceae,Polygala,Polygala sanguinea
Asparagaceae,Polygonatum,Polygonatum biflorum
Polygonaceae,Polygonella,Polygonella articulata
Polygonaceae,Persicaria,Persicaria amphibia
Polygonaceae,Persicaria,Persicaria thunbergii
Polygonaceae,Fallopia,Fallopia cilinode
Polygonaceae,Fallopia,Fallopia convolvulus
Polygonaceae,Persicaria,Persicaria hydropiper
Polygonaceae,Persicaria,Persicaria lapathifolia
Polygonaceae,Persicaria,Persicaria pensylvanica
Polygonaceae,Persicaria,Persicaria maculosa
Polygonaceae,Persicaria,Persicaria sagittata
Polygonaceae,Fallopia,Fallopia scandens
Polygonaceae,Polygonum,Polygonum tenue
Salicaceae,Populus,Populus balsamifera
Salicaceae,Populus,Populus deltoides
Salicaceae,Populus,Populus grandidentata
Salicaceae,Populus,Populus tremuloides
Portulacaceae,Portulaca,Portulaca oleracea
Rosaceae,Potentilla,Potentilla argentea
Rosaceae,Drymocallis,Drymocallis arguta
Rosaceae,Potentilla,Potentilla norvegica
Rosaceae,Comarum,Comarum palustre
Rosaceae,Potentilla,Potentilla recta
Rosaceae,Potentilla,Potentilla simplex
Asteraceae,Nabalus,Nabalus albus
Asteraceae,Nabalus,Nabalus racemosus
Lamiaceae,Prunella,Prunella vulgaris
Rosaceae,Prunus,Prunus americana
Rosaceae,Prunus,Prunus pensylvanica
Rosaceae,Prunus,Prunus pumila
Rosaceae,Prunus,Prunus serotina
Rosaceae,Prunus,Prunus virginiana
Lamiaceae,Pycnanthemum,Pycnanthemum virginianum
Ericaceae,Pyrola,Pyrola rotundifolia
Rosaceae,Malus,Malus domestica
Fagaceae,Quercus,Quercus alba
Fagaceae,Quercus,Quercus petraea
Fagaceae,Quercus,Quercus ellipsoidalis
Fagaceae,Quercus,Quercus macrocarpa
Ranunculaceae,Ranunculus,Ranunculus rhomboideus
Asteraceae,Ratibida,Ratibida pinnata
Rhamnaceae,Rhamnus,Rhamnus cathartica
Rhamnaceae,Frangula,Frangula alnus
Anacardiaceae,Rhus,Rhus glabra
Anacardiaceae,Toxicodendron,Toxicodendron radicans
Anacardiaceae,Rhus,Rhus typhina
Grossulariaceae,Ribes,Ribes hirtellum
Fabaceae,Robinia,Robinia pseudoacacia
Rosaceae,Rosa,Rosa arkansana
Rosaceae,Rosa,Rosa blanda
Rosaceae,Rosa,Rosa carolina
Rosaceae,Rubus,Rubus allegheniensis
Rosaceae,Rubus,Rubus canadensis
Rosaceae,Rubus,Rubus flagellaris
Rosaceae,Rubus,Rubus idaeus
Rosaceae,Rubus,Rubus occidentalis
Rosaceae,Rubus,Rubus pubescens
Asteraceae,Rudbeckia,Rudbeckia hirta
Asteraceae,Echinacea,Echinacea serotina
Polygonaceae,Rumex,Rumex acetosella
Polygonaceae,Rumex,Rumex mexicanus
Polygonaceae,Rumex,Rumex britannica
Alismataceae,Sagittaria,Sagittaria latifolia
Salicaceae,Salix,Salix bebbiana
Salicaceae,Salix,Salix discolor
Salicaceae,Salix,Salix petiolaris
Salicaceae,Salix,Salix humilis
Salicaceae,Salix,Salix interior
Salicaceae,Salix,Salix pedicellaris
Salicaceae,Salix,Salix pyrifolia
Salicaceae,Salix,Salix serissima
Amaranthaceae,Kali,Kali turgidum
Saxifragaceae,Micranthes,Micranthes pensylvanica
Poaceae,Schizachne,Schizachne purpurascens
Poaceae,Schizachyrium,Schizachyrium scoparium
Cyperaceae,Scirpus,Scirpus cyperinus
Cyperaceae,Eleocharis,Eleocharis geniculata
Cyperaceae,Scleria,Scleria triglomerata
Lamiaceae,Scutellaria,Scutellaria galericulata
Lamiaceae,Scutellaria,Scutellaria lateriflora
Lamiaceae,Scutellaria,Scutellaria parvula
Poaceae,Secale,Secale cereale
Asteraceae,Packera,Packera aurea
Asteraceae,Packera,Packera paupercula
Poaceae,Setaria,Setaria italica
Poaceae,Cenchrus,Cenchrus americanus
Poaceae,Setaria,Setaria viridis
Caryophyllaceae,Silene,Silene antirrhina
Brassicaceae,Sisymbrium,Sisymbrium altissimum
Iridaceae,Sisyrinchium,Sisyrinchium campestre
Asparagaceae,Maianthemum,Maianthemum racemosum
Asparagaceae,Maianthemum,Maianthemum stellatum
Smilacaceae,Smilax,Smilax herbacea
Solanaceae,Solanum,Solanum americanum
Solanaceae,Solanum,Solanum nigrum
Solanaceae,Solanum,Solanum carolinense
Solanaceae,Solanum,Solanum dulcamara
Asteraceae,Solidago,Solidago altissima
Asteraceae,Solidago,Solidago canadensis
Asteraceae,Solidago,Solidago gigantea
Asteraceae,Solidago,Solidago juncea
Asteraceae,Solidago,Solidago missouriensis
Asteraceae,Solidago,Solidago nemoralis
Asteraceae,Solidago,Solidago rigida
Asteraceae,Solidago,Solidago speciosa
Asteraceae,Sonchus,Sonchus arvensis
Poaceae,Sorghastrum,Sorghastrum nutans
Poaceae,Sporobolus,Sporobolus michauxianus
Rosaceae,Spiraea,Spiraea alba
Rosaceae,Spiraea,Spiraea tomentosa
Poaceae,Sporobolus,Sporobolus cryptandrus
Poaceae,Sporobolus,Sporobolus heterolepis
Lamiaceae,Stachys,Stachys palustris
Lamiaceae,Stachys,Stachys tenuifolia
Caryophyllaceae,Stellaria,Stellaria longifolia
Caryophyllaceae,Stellaria,Stellaria media
Poaceae,Stipa,Stipa spartea
Poaceae,Stipa,Stipa comata
Poaceae,Trachypogon,Trachypogon spicatus
Liliaceae,Streptopus,Streptopus lanceolatus
Fabaceae,Strophostyles,Strophostyles leiosperma
Caprifoliaceae,Symphoricarpos,Symphoricarpos occidentalis
Asteraceae,Taraxacum,Taraxacum campylodes
Ranunculaceae,Thalictrum,Thalictrum dasycarpum
Ranunculaceae,Thalictrum,Thalictrum dioicum
Thelypteridaceae,Thelypteris,Thelypteris confluens
Commelinaceae,Tradescantia,Tradescantia bracteata
Commelinaceae,Tradescantia,Tradescantia occidentalis
Asteraceae,Tragopogon,Tragopogon duarius
Hypericaceae,Triadenum,Triadenum fraseri
Primulaceae,Lysimachia,Lysimachia borealis
Fabaceae,Trifolium,Trifolium arvense
Fabaceae,Trifolium,Trifolium hybridum
Fabaceae,Trifolium,Trifolium pratense
Fabaceae,Trifolium,Trifolium repens
Typhaceae,Typha,Typha angustifolia
Typhaceae,Typha,Typha latifolia
Ulmaceae,Ulmus,Ulmus americana
Ulmaceae,Ulmus,Ulmus pumila
Urticaceae,Urtica,Urtica dioica
Colchicaceae,Uvularia,Uvularia sessilifolia
Ericaceae,Vaccinium,Vaccinium angustifolium
Ericaceae,Vaccinium,Vaccinium myrtilloides
Scrophulariaceae,Verbascum,Verbascum thapsus
Verbenaceae,Verbena,Verbena bracteata
Verbenaceae,Verbena,Verbena hastata
Verbenaceae,Verbena,Verbena stricta
Asteraceae,Vernonia,Vernonia fasciculata
Plantaginaceae,Veronicastrum,Veronicastrum virginicum
Adoxaceae,Viburnum,Viburnum lentago
Fabaceae,Vicia,Vicia sativa
Fabaceae,Vicia,Vicia villosa
Violaceae,Viola,Viola macloskeyi
Violaceae,Viola,Viola palustris
Violaceae,Viola,Viola pedata
Violaceae,Viola,Viola pedatifida
Violaceae,Viola,Viola sagittata
Violaceae,Viola,Viola selkirkii
Vitaceae,Vitis,Vitis vulpina
Dryopteridaceae,Dryopteris,Dryopteris leedsii
Xyridaceae,Xyris,Xyris torta
Rutaceae,Zanthoxylum,Zanthoxylum americanum
Apiaceae,Zizia,Zizia aptera
Apiaceae,Zizia,Zizia aurea
Ginkgoaceae,Ginkgo,Ginkgo biloba