order,family,genus,species
Sapindales,Sapindaceae,Acer,Acer negundo
Sapindales,Sapindaceae,Acer,Acer rubrum
Asterales,Asteraceae,Achillea,Achillea millefolium
Lamiales,Lamiaceae,Agastache,Agastache foeniculum
Poales,Poaceae,Elymus,Elymus repens
Poales,Poaceae,Elymus,Elymus smithii
Poales,Poaceae,Poa,Poa nemoralis
Poales,Poaceae,Agrostis,Agrostis scabra
Asparagales,Amaryllidaceae,Allium,Allium cernuum
Asparagales,Amaryllidaceae,Allium,Allium stellatum
Fagales,Betulaceae,Alnus,Alnus incana
Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus retroflexus
Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia
Asterales,Asteraceae,Ambrosia,Ambrosia psilostachya
Rosales,Rosaceae,Amelanchier,Amelanchier alnifolia
Rosales,Rosaceae,Amelanchier,Amelanchier arborea
Rosales,Rosaceae,Amelanchier,Amelanchier spicata
Rosales,Rosaceae,Amelanchier,Amelanchier laevis
Rosales,Rosaceae,Amelanchier,Amelanchier sanguinea
Fabales,Fabaceae,Amorpha,Amorpha canescens
Fabales,Fabaceae,Amphicarpaea,Amphicarpaea bracteata
Poales,Poaceae,Andropogon,Andropogon gerardi
Ranunculales,Ranunculaceae,Anemone,Anemone cylindrica
Ranunculales,Ranunculaceae,Anemone,Anemone patens
Ranunculales,Ranunculaceae,Anemone,Anemone quinquefolia
Ranunculales,Ranunculaceae,Anemone,Anemone virginiana
Asterales,Asteraceae,Antennaria,Antennaria parlinii
Asterales,Asteraceae,Antennaria,Antennaria neglecta
Asterales,Asteraceae,Antennaria,Antennaria plantaginifolia
Gentianales,Apocynaceae,Apocynum,Apocynum androsaemifolium
Gentianales,Apocynaceae,Apocynum,Apocynum cannabinum
Ranunculales,Ranunculaceae,Aquilegia,Aquilegia canadensis
Brassicales,Brassicaceae,Boechera,Boechera divaricarpa
Brassicales,Brassicaceae,Turritis,Turritis glabra
Brassicales,Brassicaceae,Arabis,Arabis hirsuta
Apiales,Araliaceae,Aralia,Aralia nudicaulis
Caryophyllales,Caryophyllaceae,Moehringia,Moehringia lateriflora
Poales,Poaceae,Aristida,Aristida basiramea
Poales,Poaceae,Aristida,Aristida tuberculosa
Rosales,Rosaceae,Aronia,Aronia melanocarpa
Asterales,Asteraceae,Artemisia,Artemisia ludoviciana
Gentianales,Apocynaceae,Asclepias,Asclepias exaltata
Gentianales,Apocynaceae,Asclepias,Asclepias incarnata
Gentianales,Apocynaceae,Asclepias,Asclepias ovalifolia
Gentianales,Apocynaceae,Asclepias,Asclepias syriaca
Gentianales,Apocynaceae,Asclepias,Asclepias tuberosa
Gentianales,Apocynaceae,Asclepias,Asclepias verticillata
Gentianales,Apocynaceae,Asclepias,Asclepias viridiflora
Asparagales,Asparagaceae,Asparagus,Asparagus officinalis
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum oolentangiense
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum ericoides
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum boreale
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum lanceolatum
Asterales,Asteraceae,Eurybia,Eurybia macrophylla
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum novae-angliae
Asterales,Asteraceae,Solidago,Solidago ptarmicoides
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum puniceum
Asterales,Asteraceae,Doellingeria,Doellingeria umbellata
Fabales,Fabaceae,Astragalus,Astragalus canadensis
Fabales,Fabaceae,Baptisia,Baptisia alba
Brassicales,Brassicaceae,Barbarea,Barbarea vulgaris
Brassicales,Brassicaceae,Berteroa,Berteroa incana
Fagales,Betulaceae,Betula,Betula alleghaniensis
Fagales,Betulaceae,Betula,Betula papyrifera
Fagales,Betulaceae,Betula,Betula pumila
Asterales,Asteraceae,Bidens,Bidens cernua
Asterales,Asteraceae,Bidens,Bidens trichosperma
Asterales,Asteraceae,Bidens,Bidens tripartita
Poales,Poaceae,Bouteloua,Bouteloua curtipendula
Poales,Poaceae,Bouteloua,Bouteloua aristidoides
Poales,Poaceae,Chondrosum,Chondrosum hirsutum
Poales,Poaceae,Bromus,Bromus ciliatus
Poales,Poaceae,Bromus,Bromus inermis
Poales,Poaceae,Bromus,Bromus kalmii
Poales,Poaceae,Bromus,Bromus tectorum
Poales,Poaceae,Bouteloua,Bouteloua dactyloides
Poales,Poaceae,Calamagrostis,Calamagrostis canadensis
Poales,Poaceae,Calamagrostis,Calamagrostis stricta
Poales,Poaceae,Sporobolus,Sporobolus rigidus
Ranunculales,Ranunculaceae,Caltha,Caltha palustris
Asterales,Campanulaceae,Campanula,Campanula aparinoides
Asterales,Campanulaceae,Campanula,Campanula rotundifolia
Brassicales,Brassicaceae,Capsella,Capsella bursa-pastoris
Poales,Cyperaceae,Carex,Carex bebbii
Poales,Cyperaceae,Carex,Carex bicknellii
Poales,Cyperaceae,Carex,Carex canescens
Poales,Cyperaceae,Carex,Carex echinata
Poales,Cyperaceae,Carex,Carex chordorrhiza
Poales,Cyperaceae,Carex,Carex comosa
Poales,Cyperaceae,Carex,Carex diandra
Poales,Cyperaceae,Carex,Carex disperma
Poales,Cyperaceae,Carex,Carex foenea
Poales,Cyperaceae,Carex,Carex gracillima
Poales,Cyperaceae,Carex,Carex haydenii
Poales,Cyperaceae,Carex,Carex interior
Poales,Cyperaceae,Carex,Carex lacustris
Poales,Cyperaceae,Carex,Carex lasiocarpa
Poales,Cyperaceae,Carex,Carex vulpinoidea
Poales,Cyperaceae,Carex,Carex oligosperma
Poales,Cyperaceae,Carex,Carex pensylvanica
Poales,Cyperaceae,Carex,Carex rostrata
Poales,Cyperaceae,Carex,Carex scoparia
Poales,Cyperaceae,Carex,Carex stricta
Fabales,Fabaceae,Chamaecrista,Chamaecrista fasciculata
Rosales,Rhamnaceae,Ceanothus,Ceanothus americanus
Celastrales,Celastraceae,Celastrus,Celastrus scandens
Poales,Poaceae,Cenchrus,Cenchrus longispinus
Ericales,Ericaceae,Chamaedaphne,Chamaedaphne calyculata
Caryophyllales,Amaranthaceae,Chenopodium,Chenopodium album
Caryophyllales,Amaranthaceae,Chenopodiastrum,Chenopodiastrum hybridum
Caryophyllales,Amaranthaceae,Chenopodium,Chenopodium leptophyllum
Asterales,Asteraceae,Heterotheca,Heterotheca villosa
Apiales,Apiaceae,Cicuta,Cicuta bulbifera
Myrtales,Onagraceae,Circaea,Circaea lutetiana
Asterales,Asteraceae,Cirsium,Cirsium arvense
Asterales,Asteraceae,Cirsium,Cirsium discolor
Santalales,Santalaceae,Comandra,Comandra umbellata
Solanales,Convolvulaceae,Convolvulus,Convolvulus arvensis
Asterales,Asteraceae,Erigeron,Erigeron canadensis
Asterales,Asteraceae,Coreopsis,Coreopsis palmata
Cornales,Cornaceae,Cornus,Cornus alternifolia
Cornales,Cornaceae,Cornus,Cornus racemosa
Cornales,Cornaceae,Cornus,Cornus sericea
Fagales,Betulaceae,Corylus,Corylus americana
Asterales,Asteraceae,Crepis,Crepis tectorum
Caryophyllales,Amaranthaceae,Dysphania,Dysphania atriplicifolia
Poales,Cyperaceae,Cyperus,Cyperus filiculmis
Poales,Cyperaceae,Cyperus,Cyperus schweinitzii
Poales,Cyperaceae,Cyperus,Cyperus strigosus
Poales,Poaceae,Danthonia,Danthonia spicata
Ranunculales,Ranunculaceae,Delphinium,Delphinium carolinianum
Fabales,Fabaceae,Desmodium,Desmodium canadense
Fabales,Fabaceae,Hylodesmum,Hylodesmum glutinosum
Poales,Poaceae,Digitaria,Digitaria ischaemum
Poales,Poaceae,Digitaria,Digitaria sanguinalis
Poales,Cyperaceae,Dulichium,Dulichium arundinaceum
Asterales,Asteraceae,Echinacea,Echinacea purpurea
Poales,Poaceae,Elymus,Elymus canadensis
Poales,Poaceae,Elymus,Elymus violaceus
Myrtales,Onagraceae,Chamaenerion,Chamaenerion angustifolium
Myrtales,Onagraceae,Epilobium,Epilobium ciliatum
Myrtales,Onagraceae,Epilobium,Epilobium leptophyllum
Poales,Poaceae,Eragrostis,Eragrostis spectabilis
Poales,Poaceae,Eragrostis,Eragrostis trichodes
Asterales,Asteraceae,Erechtites,Erechtites hieracifolia
Asterales,Asteraceae,Erigeron,Erigeron annuus
Asterales,Asteraceae,Erigeron,Erigeron strigosus
Asterales,Asteraceae,Eutrochium,Eutrochium maculatum
Asterales,Asteraceae,Eupatorium,Eupatorium perfoliatum
Asterales,Asteraceae,Ageratina,Ageratina liebmannii
Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia corollata
Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia geyeri
Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia glyptosperma
Asterales,Asteraceae,Euthamia,Euthamia graminifolia
Poales,Poaceae,Festuca,Festuca ovina
Poales,Poaceae,Festuca,Festuca guestfalica
Poales,Poaceae,Festuca,Festuca rubra
Rosales,Rosaceae,Fragaria,Fragaria vesca
Rosales,Rosaceae,Fragaria,Fragaria virginiana
Lamiales,Oleaceae,Fraxinus,Fraxinus americana
Lamiales,Oleaceae,Fraxinus,Fraxinus nigra
Lamiales,Oleaceae,Fraxinus,Fraxinus pennsylvanica
Lamiales,Gesneriaceae,Seemannia,Seemannia sylvatica
Gentianales,Rubiaceae,Galium,Galium aparine
Gentianales,Rubiaceae,Galium,Galium boreale
Gentianales,Rubiaceae,Galium,Galium trifidum
Gentianales,Rubiaceae,Galium,Galium triflorum
Gentianales,Gentianaceae,Gentiana,Gentiana andrewsii
Geraniales,Geraniaceae,Geranium,Geranium maculatum
Lamiales,Lamiaceae,Glechoma,Glechoma hederacea
Poales,Poaceae,Glyceria,Glyceria grandis
Asterales,Asteraceae,Gamochaeta,Gamochaeta purpurea
Asterales,Asteraceae,Gnaphalium,Gnaphalium uliginosum
Asterales,Asteraceae,Hieracium,Hieracium crassescens
Asparagales,Orchidaceae,Platanthera,Platanthera lacera
Boraginales,Boraginaceae,Hackelia,Hackelia deflexa
Lamiales,Lamiaceae,Hedeoma,Hedeoma hispida
Asterales,Asteraceae,Helenium,Helenium autumnale
Malvales,Cistaceae,Helianthemum,Helianthemum bicknellii
Asterales,Asteraceae,Helianthus,Helianthus giganteus
Asterales,Asteraceae,Helianthus,Helianthus hirsutus
Asterales,Asteraceae,Helianthus,Helianthus laetiflorus
Asterales,Asteraceae,Helianthus,Helianthus petiolaris
Asterales,Asteraceae,Heliopsis,Heliopsis helianthoides
Saxifragales,Saxifragaceae,Heuchera,Heuchera richardsonii
Asterales,Asteraceae,Pilosella,Pilosella aurantiaca
Asterales,Asteraceae,Hieracium,Hieracium umbellatum
Asterales,Asteraceae,Hieracium,Hieracium longipilum
Poales,Poaceae,Anthoxanthum,Anthoxanthum nitens
Gentianales,Rubiaceae,Houstonia,Houstonia longifolia
Malpighiales,Hypericaceae,Hypericum,Hypericum majus
Asparagales,Hypoxidaceae,Hypoxis,Hypoxis hirsuta
Aquifoliales,Aquifoliaceae,Ilex,Ilex verticillata
Ericales,Balsaminaceae,Impatiens,Impatiens capensis
Asparagales,Iridaceae,Iris,Iris versicolor
Poales,Juncaceae,Juncus,Juncus tenuis
Pinales,Cupressaceae,Juniperus,Juniperus communis
Pinales,Cupressaceae,Juniperus,Juniperus virginiana
Poales,Poaceae,Koeleria,Koeleria micrathera
Asterales,Asteraceae,Krigia,Krigia biflora
Asterales,Asteraceae,Lactuca,Lactuca biennis
Asterales,Asteraceae,Lactuca,Lactuca canadensis
Asterales,Asteraceae,Lactuca,Lactuca serriola
Pinales,Pinaceae,Larix,Larix laricina
Fabales,Fabaceae,Lathyrus,Lathyrus ochroleucus
Fabales,Fabaceae,Lathyrus,Lathyrus venosus
Malvales,Cistaceae,Lechea,Lechea stricta
Poales,Poaceae,Leersia,Leersia oryzoides
Brassicales,Brassicaceae,Lepidium,Lepidium densiflorum
Brassicales,Brassicaceae,Lepidium,Lepidium virginicum
Poales,Poaceae,Digitaria,Digitaria cognata
Fabales,Fabaceae,Lespedeza,Lespedeza capitata
Asterales,Asteraceae,Liatris,Liatris aspera
Asterales,Asteraceae,Liatris,Liatris ligulistylis
Asterales,Asteraceae,Liatris,Liatris pycnostachya
Lamiales,Plantaginaceae,Linaria,Linaria vulgaris
Boraginales,Boraginaceae,Lithospermum,Lithospermum canescens
Boraginales,Boraginaceae,Lithospermum,Lithospermum caroliniense
Boraginales,Boraginaceae,Lithospermum,Lithospermum carolinense
Asterales,Campanulaceae,Lobelia,Lobelia siphilitica
Asterales,Campanulaceae,Lobelia,Lobelia spicata
Poales,Poaceae,Lolium,Lolium multiflorum
Dipsacales,Caprifoliaceae,Lonicera,Lonicera dioica
Dipsacales,Caprifoliaceae,Lonicera,Lonicera tatarica
Dipsacales,Caprifoliaceae,Lonicera,Lonicera morrowii
Myrtales,Onagraceae,Ludwigia,Ludwigia polycarpa
Fabales,Fabaceae,Lupinus,Lupinus perennis
Caryophyllales,Caryophyllaceae,Silene,Silene latifolia
Lamiales,Lamiaceae,Lycopus,Lycopus americanus
Lamiales,Lamiaceae,Lycopus,Lycopus uniflorus
Ericales,Primulaceae,Lysimachia,Lysimachia ciliata
Ericales,Primulaceae,Lysimachia,Lysimachia thyrsiflora
Asparagales,Asparagaceae,Maianthemum,Maianthemum canadense
Fabales,Fabaceae,Medicago,Medicago lupulina
Fabales,Fabaceae,Medicago,Medicago sativa
Fabales,Fabaceae,Melilotus,Melilotus officinalis
Lamiales,Phrymaceae,Mimulus,Mimulus ringens
Caryophyllales,Nyctaginaceae,Mirabilis,Mirabilis albida
Caryophyllales,Nyctaginaceae,Mirabilis,Mirabilis nyctaginea
Poales,Poaceae,Miscanthus,Miscanthus giganteus
Caryophyllales,Molluginaceae,Mollugo,Mollugo verticillata
Lamiales,Lamiaceae,Monarda,Monarda fistulosa
Lamiales,Lamiaceae,Monarda,Monarda punctata
Lamiales,Lamiaceae,Mosla,Mosla dianthera
Poales,Poaceae,Muhlenbergia,Muhlenbergia racemosa
Poales,Cyperaceae,Carex,Carex lativena
Lamiales,Lamiaceae,Nepeta,Nepeta cataria
Myrtales,Onagraceae,Oenothera,Oenothera biennis
Myrtales,Onagraceae,Oenothera,Oenothera parviflora
Myrtales,Onagraceae,Oenothera,Oenothera rhombipetala
Oxalidales,Oxalidaceae,Oxalis,Oxalis stricta
Poales,Poaceae,Panicum,Panicum capillare
Poales,Poaceae,Dichanthelium,Dichanthelium acuminatum
Poales,Poaceae,Panicum,Panicum leibergii
Poales,Poaceae,Panicum,Panicum miliaceum
Poales,Poaceae,Dichanthelium,Dichanthelium oligosanthes
Poales,Poaceae,Panicum,Panicum perlongum
Poales,Poaceae,Panicum,Panicum virgatum
Rosales,Urticaceae,Parietaria,Parietaria pensylvanica
Vitales,Vitaceae,Parthenocissus,Parthenocissus inserta
Vitales,Vitaceae,Parthenocissus,Parthenocissus quinquefolia
Poales,Poaceae,Paspalum,Paspalum setaceum
Lamiales,Orobanchaceae,Pedicularis,Pedicularis canadensis
Lamiales,Plantaginaceae,Penstemon,Penstemon digitalis
Lamiales,Plantaginaceae,Penstemon,Penstemon gracilis
Lamiales,Plantaginaceae,Penstemon,Penstemon grandiflorus
Saxifragales,Penthoraceae,Penthorum,Penthorum sedoides
Fabales,Fabaceae,Petalostemon,Petalostemon candidus
Fabales,Fabaceae,Dalea,Dalea purpurea
Fabales,Fabaceae,Dalea,Dalea villosa
Poales,Poaceae,Phalaris,Phalaris arundinacea
Poales,Poaceae,Phleum,Phleum pratense
Ericales,Polemoniaceae,Phlox,Phlox paniculata
Ericales,Polemoniaceae,Phlox,Phlox pilosa
Lamiales,Phrymaceae,Phryma,Phryma leptostachya
Solanales,Solanaceae,Physalis,Physalis pubescens
Solanales,Solanaceae,Physalis,Physalis virginiana
Rosales,Urticaceae,Pilea,Pilea pumila
Pinales,Pinaceae,Pinus,Pinus banksiana
Pinales,Pinaceae,Pinus,Pinus resinosa
Pinales,Pinaceae,Pinus,Pinus strobus
Lamiales,Plantaginaceae,Plantago,Plantago lanceolata
Lamiales,Plantaginaceae,Plantago,Plantago major
Poales,Poaceae,Poa,Poa compressa
Poales,Poaceae,Poa,Poa palustris
Poales,Poaceae,Poa,Poa pratensis
Fabales,Polygalaceae,Polygala,Polygala polygama
Fabales,Polygalaceae,Polygala,Polygala sanguinea
Asparagales,Asparagaceae,Polygonatum,Polygonatum biflorum
Caryophyllales,Polygonaceae,Polygonella,Polygonella articulata
Caryophyllales,Polygonaceae,Persicaria,Persicaria amphibia
Caryophyllales,Polygonaceae,Persicaria,Persicaria thunbergii
Caryophyllales,Polygonaceae,Fallopia,Fallopia cilinode
Caryophyllales,Polygonaceae,Fallopia,Fallopia convolvulus
Caryophyllales,Polygonaceae,Persicaria,Persicaria hydropiper
Caryophyllales,Polygonaceae,Persicaria,Persicaria lapathifolia
Caryophyllales,Polygonaceae,Persicaria,Persicaria pensylvanica
Caryophyllales,Polygonaceae,Persicaria,Persicaria maculosa
Caryophyllales,Polygonaceae,Persicaria,Persicaria sagittata
Caryophyllales,Polygonaceae,Fallopia,Fallopia scandens
Caryophyllales,Polygonaceae,Polygonum,Polygonum tenue
Malpighiales,Salicaceae,Populus,Populus balsamifera
Malpighiales,Salicaceae,Populus,Populus deltoides
Malpighiales,Salicaceae,Populus,Populus grandidentata
Malpighiales,Salicaceae,Populus,Populus tremuloides
Caryophyllales,Portulacaceae,Portulaca,Portulaca oleracea
Rosales,Rosaceae,Potentilla,Potentilla argentea
Rosales,Rosaceae,Drymocallis,Drymocallis arguta
Rosales,Rosaceae,Potentilla,Potentilla norvegica
Rosales,Rosaceae,Comarum,Comarum palustre
Rosales,Rosaceae,Potentilla,Potentilla recta
Rosales,Rosaceae,Potentilla,Potentilla simplex
Asterales,Asteraceae,Nabalus,Nabalus albus
Asterales,Asteraceae,Nabalus,Nabalus racemosus
Lamiales,Lamiaceae,Prunella,Prunella vulgaris
Rosales,Rosaceae,Prunus,Prunus americana
Rosales,Rosaceae,Prunus,Prunus pensylvanica
Rosales,Rosaceae,Prunus,Prunus pumila
Rosales,Rosaceae,Prunus,Prunus serotina
Rosales,Rosaceae,Prunus,Prunus virginiana
Lamiales,Lamiaceae,Pycnanthemum,Pycnanthemum virginianum
Ericales,Ericaceae,Pyrola,Pyrola rotundifolia
Rosales,Rosaceae,Malus,Malus domestica
Fagales,Fagaceae,Quercus,Quercus alba
Fagales,Fagaceae,Quercus,Quercus petraea
Fagales,Fagaceae,Quercus,Quercus ellipsoidalis
Fagales,Fagaceae,Quercus,Quercus macrocarpa
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus rhomboideus
Asterales,Asteraceae,Ratibida,Ratibida pinnata
Rosales,Rhamnaceae,Rhamnus,Rhamnus cathartica
Rosales,Rhamnaceae,Frangula,Frangula alnus
Sapindales,Anacardiaceae,Rhus,Rhus glabra
Sapindales,Anacardiaceae,Toxicodendron,Toxicodendron radicans
Sapindales,Anacardiaceae,Rhus,Rhus typhina
Saxifragales,Grossulariaceae,Ribes,Ribes hirtellum
Fabales,Fabaceae,Robinia,Robinia pseudoacacia
Rosales,Rosaceae,Rosa,Rosa arkansana
Rosales,Rosaceae,Rosa,Rosa blanda
Rosales,Rosaceae,Rosa,Rosa carolina
Rosales,Rosaceae,Rubus,Rubus allegheniensis
Rosales,Rosaceae,Rubus,Rubus canadensis
Rosales,Rosaceae,Rubus,Rubus flagellaris
Rosales,Rosaceae,Rubus,Rubus idaeus
Rosales,Rosaceae,Rubus,Rubus occidentalis
Rosales,Rosaceae,Rubus,Rubus pubescens
Asterales,Asteraceae,Rudbeckia,Rudbeckia hirta
Asterales,Asteraceae,Echinacea,Echinacea serotina
Caryophyllales,Polygonaceae,Rumex,Rumex acetosella
Caryophyllales,Polygonaceae,Rumex,Rumex mexicanus
Caryophyllales,Polygonaceae,Rumex,Rumex britannica
Alismatales,Alismataceae,Sagittaria,Sagittaria latifolia
Malpighiales,Salicaceae,Salix,Salix bebbiana
Malpighiales,Salicaceae,Salix,Salix discolor
Malpighiales,Salicaceae,Salix,Salix petiolaris
Malpighiales,Salicaceae,Salix,Salix humilis
Malpighiales,Salicaceae,Salix,Salix interior
Malpighiales,Salicaceae,Salix,Salix pedicellaris
Malpighiales,Salicaceae,Salix,Salix pyrifolia
Malpighiales,Salicaceae,Salix,Salix serissima
Caryophyllales,Amaranthaceae,Kali,Kali turgidum
Saxifragales,Saxifragaceae,Micranthes,Micranthes pensylvanica
Poales,Poaceae,Schizachne,Schizachne purpurascens
Poales,Poaceae,Schizachyrium,Schizachyrium scoparium
Poales,Cyperaceae,Scirpus,Scirpus cyperinus
Poales,Cyperaceae,Eleocharis,Eleocharis geniculata
Poales,Cyperaceae,Scleria,Scleria triglomerata
Lamiales,Lamiaceae,Scutellaria,Scutellaria galericulata
Lamiales,Lamiaceae,Scutellaria,Scutellaria lateriflora
Lamiales,Lamiaceae,Scutellaria,Scutellaria parvula
Poales,Poaceae,Secale,Secale cereale
Asterales,Asteraceae,Packera,Packera aurea
Asterales,Asteraceae,Packera,Packera paupercula
Poales,Poaceae,Setaria,Setaria italica
Poales,Poaceae,Cenchrus,Cenchrus americanus
Poales,Poaceae,Setaria,Setaria viridis
Caryophyllales,Caryophyllaceae,Silene,Silene antirrhina
Brassicales,Brassicaceae,Sisymbrium,Sisymbrium altissimum
Asparagales,Iridaceae,Sisyrinchium,Sisyrinchium campestre
Asparagales,Asparagaceae,Maianthemum,Maianthemum racemosum
Asparagales,Asparagaceae,Maianthemum,Maianthemum stellatum
Liliales,Smilacaceae,Smilax,Smilax herbacea
Solanales,Solanaceae,Solanum,Solanum americanum
Solanales,Solanaceae,Solanum,Solanum nigrum
Solanales,Solanaceae,Solanum,Solanum carolinense
Solanales,Solanaceae,Solanum,Solanum dulcamara
Asterales,Asteraceae,Solidago,Solidago altissima
Asterales,Asteraceae,Solidago,Solidago canadensis
Asterales,Asteraceae,Solidago,Solidago gigantea
Asterales,Asteraceae,Solidago,Solidago juncea
Asterales,Asteraceae,Solidago,Solidago missouriensis
Asterales,Asteraceae,Solidago,Solidago nemoralis
Asterales,Asteraceae,Solidago,Solidago rigida
Asterales,Asteraceae,Solidago,Solidago speciosa
Asterales,Asteraceae,Sonchus,Sonchus arvensis
Poales,Poaceae,Sorghastrum,Sorghastrum nutans
Poales,Poaceae,Sporobolus,Sporobolus michauxianus
Rosales,Rosaceae,Spiraea,Spiraea alba
Rosales,Rosaceae,Spiraea,Spiraea tomentosa
Poales,Poaceae,Sporobolus,Sporobolus cryptandrus
Poales,Poaceae,Sporobolus,Sporobolus heterolepis
Lamiales,Lamiaceae,Stachys,Stachys palustris
Lamiales,Lamiaceae,Stachys,Stachys tenuifolia
Caryophyllales,Caryophyllaceae,Stellaria,Stellaria longifolia
Caryophyllales,Caryophyllaceae,Stellaria,Stellaria media
Poales,Poaceae,Stipa,Stipa spartea
Poales,Poaceae,Stipa,Stipa comata
Poales,Poaceae,Trachypogon,Trachypogon spicatus
Liliales,Liliaceae,Streptopus,Streptopus lanceolatus
Fabales,Fabaceae,Strophostyles,Strophostyles leiosperma
Dipsacales,Caprifoliaceae,Symphoricarpos,Symphoricarpos occidentalis
Asterales,Asteraceae,Taraxacum,Taraxacum campylodes
Ranunculales,Ranunculaceae,Thalictrum,Thalictrum dasycarpum
Ranunculales,Ranunculaceae,Thalictrum,Thalictrum dioicum
Commelinales,Commelinaceae,Tradescantia,Tradescantia bracteata
Commelinales,Commelinaceae,Tradescantia,Tradescantia occidentalis
Asterales,Asteraceae,Tragopogon,Tragopogon duarius
Malpighiales,Hypericaceae,Triadenum,Triadenum fraseri
Ericales,Primulaceae,Lysimachia,Lysimachia borealis
Fabales,Fabaceae,Trifolium,Trifolium arvense
Fabales,Fabaceae,Trifolium,Trifolium hybridum
Fabales,Fabaceae,Trifolium,Trifolium pratense
Fabales,Fabaceae,Trifolium,Trifolium repens
Poales,Typhaceae,Typha,Typha angustifolia
Poales,Typhaceae,Typha,Typha latifolia
Rosales,Ulmaceae,Ulmus,Ulmus americana
Rosales,Ulmaceae,Ulmus,Ulmus pumila
Rosales,Urticaceae,Urtica,Urtica dioica
Liliales,Colchicaceae,Uvularia,Uvularia sessilifolia
Ericales,Ericaceae,Vaccinium,Vaccinium angustifolium
Ericales,Ericaceae,Vaccinium,Vaccinium myrtilloides
Lamiales,Scrophulariaceae,Verbascum,Verbascum thapsus
Lamiales,Verbenaceae,Verbena,Verbena bracteata
Lamiales,Verbenaceae,Verbena,Verbena hastata
Lamiales,Verbenaceae,Verbena,Verbena stricta
Asterales,Asteraceae,Vernonia,Vernonia fasciculata
Lamiales,Plantaginaceae,Veronicastrum,Veronicastrum virginicum
Dipsacales,Adoxaceae,Viburnum,Viburnum lentago
Fabales,Fabaceae,Vicia,Vicia sativa
Fabales,Fabaceae,Vicia,Vicia villosa
Malpighiales,Violaceae,Viola,Viola macloskeyi
Malpighiales,Violaceae,Viola,Viola palustris
Malpighiales,Violaceae,Viola,Viola pedata
Malpighiales,Violaceae,Viola,Viola pedatifida
Malpighiales,Violaceae,Viola,Viola sagittata
Malpighiales,Violaceae,Viola,Viola selkirkii
Vitales,Vitaceae,Vitis,Vitis vulpina
Poales,Xyridaceae,Xyris,Xyris torta
Sapindales,Rutaceae,Zanthoxylum,Zanthoxylum americanum
Apiales,Apiaceae,Zizia,Zizia aptera
Apiales,Apiaceae,Zizia,Zizia aurea
Ginkgoales,Ginkgoaceae,Ginkgo,Ginkgo biloba