sciname_IN_Phylogeny,Matched,Fuzzy,scientificName,taxonRank,majorGroup,family,genus,specificEpithet,Old.status,sciname_IN_WFO
Sagittaria latifolia,TRUE,FALSE,Sagittaria latifolia,species,A,Alismataceae,Sagittaria,latifolia,,Sagittaria latifolia
Bouteloua dactyloides,TRUE,FALSE,Bouteloua dactyloides,species,A,Poaceae,Bouteloua,dactyloides,,Bouteloua dactyloides
Paspalum setaceum,TRUE,FALSE,Paspalum setaceum,species,A,Poaceae,Paspalum,setaceum,,Paspalum setaceum
Digitaria sanguinalis,TRUE,FALSE,Digitaria sanguinalis,species,A,Poaceae,Digitaria,sanguinalis,,Digitaria sanguinalis
Digitaria ischaemum,TRUE,FALSE,Digitaria ischaemum,species,A,Poaceae,Digitaria,ischaemum,,Digitaria ischaemum
Cenchrus longispinus,TRUE,FALSE,Cenchrus longispinus,species,A,Poaceae,Cenchrus,longispinus,,Cenchrus longispinus
Digitaria cognata,TRUE,FALSE,Digitaria cognata,species,A,Poaceae,Digitaria,cognata,,Digitaria cognata
Setaria viridis,TRUE,FALSE,Setaria viridis,species,A,Poaceae,Setaria,viridis,,Setaria viridis
Setaria italica,TRUE,FALSE,Setaria italica,species,A,Poaceae,Setaria,italica,,Setaria italica
Panicum miliaceum,TRUE,FALSE,Panicum miliaceum,species,A,Poaceae,Panicum,miliaceum,,Panicum miliaceum
Panicum capillare,TRUE,FALSE,Panicum capillare,species,A,Poaceae,Panicum,capillare,,Panicum capillare
Panicum virgatum,TRUE,FALSE,Panicum virgatum,species,A,Poaceae,Panicum,virgatum,,Panicum virgatum
Dichanthelium oligosanthes,TRUE,FALSE,Dichanthelium oligosanthes,species,A,Poaceae,Dichanthelium,oligosanthes,,Dichanthelium oligosanthes
Dichanthelium linearifolium,TRUE,FALSE,Dichanthelium linearifolium,species,A,Poaceae,Dichanthelium,linearifolium,,Dichanthelium linearifolium
Dichanthelium acuminatum,TRUE,FALSE,Dichanthelium acuminatum,species,A,Poaceae,Dichanthelium,acuminatum,,Dichanthelium acuminatum
Trachypogon spicatus,TRUE,FALSE,Trachypogon spicatus,species,A,Poaceae,Trachypogon,spicatus,,Trachypogon spicatus
Schizachyrium scoparium,TRUE,FALSE,Schizachyrium scoparium,species,A,Poaceae,Schizachyrium,scoparium,,Schizachyrium scoparium
Sorghastrum nutans,TRUE,FALSE,Sorghastrum nutans,species,A,Poaceae,Sorghastrum,nutans,,Sorghastrum nutans
Danthonia spicata,TRUE,FALSE,Danthonia spicata,species,A,Poaceae,Danthonia,spicata,,Danthonia spicata
Aristida tuberculosa,TRUE,FALSE,Aristida tuberculosa,species,A,Poaceae,Aristida,tuberculosa,,Aristida tuberculosa
Aristida basiramea,TRUE,FALSE,Aristida basiramea,species,A,Poaceae,Aristida,basiramea,,Aristida basiramea
Eragrostis trichodes,TRUE,FALSE,Eragrostis trichodes,species,A,Poaceae,Eragrostis,trichodes,,Eragrostis trichodes
Eragrostis spectabilis,TRUE,FALSE,Eragrostis spectabilis,species,A,Poaceae,Eragrostis,spectabilis,,Eragrostis spectabilis
Bouteloua aristidoides,TRUE,FALSE,Bouteloua aristidoides,species,A,Poaceae,Bouteloua,aristidoides,,Bouteloua aristidoides
Bouteloua curtipendula,TRUE,FALSE,Bouteloua curtipendula,species,A,Poaceae,Bouteloua,curtipendula,,Bouteloua curtipendula
Bouteloua hirsuta,TRUE,FALSE,Bouteloua hirsuta,species,A,Poaceae,Bouteloua,hirsuta,,Bouteloua hirsuta
Muhlenbergia racemosa,TRUE,FALSE,Muhlenbergia racemosa,species,A,Poaceae,Muhlenbergia,racemosa,,Muhlenbergia racemosa
Sporobolus rigidus,TRUE,FALSE,Sporobolus rigidus,species,A,Poaceae,Sporobolus,rigidus,,Sporobolus rigidus
Sporobolus heterolepis,TRUE,FALSE,Sporobolus heterolepis,species,A,Poaceae,Sporobolus,heterolepis,,Sporobolus heterolepis
Sporobolus cryptandrus,TRUE,FALSE,Sporobolus cryptandrus,species,A,Poaceae,Sporobolus,cryptandrus,,Sporobolus cryptandrus
Dysphania atriplicifolia,TRUE,TRUE,Dysphania,genus,A,Amaranthaceae,Dysphania,sp.,,Dysphania sp.
Glyceria grandis,TRUE,FALSE,Glyceria grandis,species,A,Poaceae,Glyceria,grandis,,Glyceria grandis
Schizachne purpurascens,TRUE,FALSE,Schizachne purpurascens,species,A,Poaceae,Schizachne,purpurascens,,Schizachne purpurascens
Bromus inermis,TRUE,FALSE,Bromus inermis,species,A,Poaceae,Bromus,inermis,,Bromus inermis
Bromus ciliatus,TRUE,FALSE,Bromus ciliatus,species,A,Poaceae,Bromus,ciliatus,,Bromus ciliatus
Bromus kalmii,TRUE,FALSE,Bromus kalmii,species,A,Poaceae,Bromus,kalmii,,Bromus kalmii
Bromus tectorum,TRUE,FALSE,Bromus tectorum,species,A,Poaceae,Bromus,tectorum,,Bromus tectorum
Lysimachia borealis,TRUE,FALSE,Lysimachia borealis,species,A,Primulaceae,Lysimachia,borealis,,Lysimachia borealis
Secale cereale,TRUE,FALSE,Secale cereale,species,A,Poaceae,Secale,cereale,,Secale cereale
Secale vavilovii,TRUE,FALSE,Secale vavilovii,species,A,Poaceae,Secale,vavilovii,,Secale vavilovii
Elymus repens,TRUE,FALSE,Elymus repens,species,A,Poaceae,Elymus,repens,,Elymus repens
Elymus canadensis,TRUE,FALSE,Elymus canadensis,species,A,Poaceae,Elymus,canadensis,,Elymus canadensis
Andropogon gerardi,TRUE,TRUE,Andropogon gerardii,species,A,Poaceae,Andropogon,gerardii,,Andropogon gerardii
Lolium multiflorum,TRUE,FALSE,Lolium multiflorum,species,A,Poaceae,Lolium,multiflorum,,Lolium multiflorum
Poa pratensis,TRUE,FALSE,Poa pratensis,species,A,Poaceae,Poa,pratensis,,Poa pratensis
Poa compressa,TRUE,FALSE,Poa compressa,species,A,Poaceae,Poa,compressa,,Poa compressa
Poa nemoralis,TRUE,FALSE,Poa nemoralis,species,A,Poaceae,Poa,nemoralis,,Poa nemoralis
Poa palustris,TRUE,FALSE,Poa palustris,species,A,Poaceae,Poa,palustris,,Poa palustris
Calamagrostis stricta,TRUE,FALSE,Calamagrostis stricta,species,A,Poaceae,Calamagrostis,stricta,,Calamagrostis stricta
Koeleria pyramidata,TRUE,FALSE,Koeleria pyramidata,species,A,Poaceae,Koeleria,pyramidata,,Koeleria pyramidata
Hesperostipa spartea,TRUE,FALSE,Stipa spartea,species,A,Poaceae,Stipa,spartea,Synonym,Stipa spartea
Hesperostipa comata,TRUE,FALSE,Stipa comata,species,A,Poaceae,Stipa,comata,Synonym,Stipa comata
Festuca guestphalica,TRUE,FALSE,Festuca ovina,species,A,Poaceae,Festuca,ovina,Synonym,Festuca ovina
Festuca guestfalica,TRUE,FALSE,Festuca guestfalica,species,A,Poaceae,Festuca,guestfalica,,Festuca guestfalica
Festuca ovina,TRUE,FALSE,Festuca ovina,species,A,Poaceae,Festuca,ovina,,Festuca ovina
Festuca rubra,TRUE,FALSE,Festuca rubra,species,A,Poaceae,Festuca,rubra,,Festuca rubra
Phleum pratense,TRUE,FALSE,Phleum pratense,species,A,Poaceae,Phleum,pratense,,Phleum pratense
Calamagrostis canadensis,TRUE,FALSE,Calamagrostis canadensis,species,A,Poaceae,Calamagrostis,canadensis,,Calamagrostis canadensis
Agrostis scabra,TRUE,FALSE,Agrostis scabra,species,A,Poaceae,Agrostis,scabra,,Agrostis scabra
Phalaris arundinacea,TRUE,FALSE,Phalaris arundinacea,species,A,Poaceae,Phalaris,arundinacea,,Phalaris arundinacea
Leersia oryzoides,TRUE,FALSE,Leersia oryzoides,species,A,Poaceae,Leersia,oryzoides,,Leersia oryzoides
Chamaenerion angustifolium,TRUE,FALSE,Epilobium angustifolium,species,A,Onagraceae,Epilobium,angustifolium,Synonym,Epilobium angustifolium
Cenchrus americanus,TRUE,FALSE,Cenchrus americanus,species,A,Poaceae,Cenchrus,americanus,,Cenchrus americanus
Frangula alnus,TRUE,FALSE,Frangula alnus,species,A,Rhamnaceae,Frangula,alnus,,Frangula alnus
Pilosella aurantiaca,TRUE,FALSE,Pilosella aurantiaca,species,A,Asteraceae,Pilosella,aurantiaca,,Pilosella aurantiaca
Typha latifolia,TRUE,FALSE,Typha latifolia,species,A,Typhaceae,Typha,latifolia,,Typha latifolia
Typha angustifolia,TRUE,FALSE,Typha angustifolia,species,A,Typhaceae,Typha,angustifolia,,Typha angustifolia
Anthoxanthum nitens,TRUE,FALSE,Anthoxanthum nitens,species,A,Poaceae,Anthoxanthum,nitens,,Anthoxanthum nitens
Juncus tenuis,TRUE,FALSE,Juncus tenuis,species,A,Juncaceae,Juncus,tenuis,,Juncus tenuis
Scleria triglomerata,TRUE,FALSE,Scleria triglomerata,species,A,Cyperaceae,Scleria,triglomerata,,Scleria triglomerata
Eleocharis geniculata,TRUE,FALSE,Eleocharis geniculata,species,A,Cyperaceae,Eleocharis,geniculata,,Eleocharis geniculata
Cyperus schweinitzii,TRUE,FALSE,Cyperus schweinitzii,species,A,Cyperaceae,Cyperus,schweinitzii,,Cyperus schweinitzii
Cyperus strigosus,TRUE,FALSE,Cyperus strigosus,species,A,Cyperaceae,Cyperus,strigosus,,Cyperus strigosus
Cyperus filiculmis,TRUE,FALSE,Cyperus filiculmis,species,A,Cyperaceae,Cyperus,filiculmis,,Cyperus filiculmis
Dulichium arundinaceum,TRUE,FALSE,Dulichium arundinaceum,species,A,Cyperaceae,Dulichium,arundinaceum,,Dulichium arundinaceum
Scirpus cyperinus,TRUE,FALSE,Scirpus cyperinus,species,A,Cyperaceae,Scirpus,cyperinus,,Scirpus cyperinus
Carex scoparia,TRUE,FALSE,Carex scoparia,species,A,Cyperaceae,Carex,scoparia,,Carex scoparia
Carex pensylvanica,TRUE,FALSE,Carex pensylvanica,species,A,Cyperaceae,Carex,pensylvanica,,Carex pensylvanica
Carex gracillima,TRUE,FALSE,Carex gracillima,species,A,Cyperaceae,Carex,gracillima,,Carex gracillima
Carex lasiocarpa,TRUE,FALSE,Carex lasiocarpa,species,A,Cyperaceae,Carex,lasiocarpa,,Carex lasiocarpa
Carex comosa,TRUE,FALSE,Carex comosa,species,A,Cyperaceae,Carex,comosa,,Carex comosa
Carex lacustris,TRUE,FALSE,Carex lacustris,species,A,Cyperaceae,Carex,lacustris,,Carex lacustris
Carex rostrata,TRUE,FALSE,Carex rostrata,species,A,Cyperaceae,Carex,rostrata,,Carex rostrata
Carex oligosperma,TRUE,FALSE,Carex oligosperma,species,A,Cyperaceae,Carex,oligosperma,,Carex oligosperma
Carex haydenii,TRUE,FALSE,Carex haydenii,species,A,Cyperaceae,Carex,haydenii,,Carex haydenii
Carex stricta,TRUE,FALSE,Carex stricta,species,A,Cyperaceae,Carex,stricta,,Carex stricta
Carex chordorrhiza,TRUE,FALSE,Carex chordorrhiza,species,A,Cyperaceae,Carex,chordorrhiza,,Carex chordorrhiza
Carex canescens,TRUE,FALSE,Carex canescens,species,A,Cyperaceae,Carex,canescens,,Carex canescens
Carex vulpinoidea,TRUE,FALSE,Carex vulpinoidea,species,A,Cyperaceae,Carex,vulpinoidea,,Carex vulpinoidea
Carex bebbii,TRUE,FALSE,Carex bebbii,species,A,Cyperaceae,Carex,bebbii,,Carex bebbii
Carex bicknellii,TRUE,FALSE,Carex bicknellii,species,A,Cyperaceae,Carex,bicknellii,,Carex bicknellii
Carex foenea,TRUE,FALSE,Carex foenea,species,A,Cyperaceae,Carex,foenea,,Carex foenea
Carex diandra,TRUE,FALSE,Carex diandra,species,A,Cyperaceae,Carex,diandra,,Carex diandra
Carex echinata,TRUE,FALSE,Carex echinata,species,A,Cyperaceae,Carex,echinata,,Carex echinata
Carex interior,TRUE,FALSE,Carex interior,species,A,Cyperaceae,Carex,interior,,Carex interior
Carex disperma,TRUE,FALSE,Carex disperma,species,A,Cyperaceae,Carex,disperma,,Carex disperma
Tradescantia bracteata,TRUE,FALSE,Tradescantia bracteata,species,A,Commelinaceae,Tradescantia,bracteata,,Tradescantia bracteata
Tradescantia occidentalis,TRUE,FALSE,Tradescantia occidentalis,species,A,Commelinaceae,Tradescantia,occidentalis,,Tradescantia occidentalis
Hypoxis hirsuta,TRUE,FALSE,Hypoxis hirsuta,species,A,Hypoxidaceae,Hypoxis,hirsuta,,Hypoxis hirsuta
Iris versicolor,TRUE,FALSE,Iris versicolor,species,A,Iridaceae,Iris,versicolor,,Iris versicolor
Allium cernuum,TRUE,FALSE,Allium cernuum,species,A,Amaryllidaceae,Allium,cernuum,,Allium cernuum
Allium stellatum,TRUE,FALSE,Allium stellatum,species,A,Amaryllidaceae,Allium,stellatum,,Allium stellatum
Sisyrinchium campestre,TRUE,FALSE,Sisyrinchium campestre,species,A,Iridaceae,Sisyrinchium,campestre,,Sisyrinchium campestre
Asparagus officinalis,TRUE,FALSE,Asparagus officinalis,species,A,Asparagaceae,Asparagus,officinalis,,Asparagus officinalis
Polygonatum biflorum,TRUE,FALSE,Polygonatum biflorum,species,A,Asparagaceae,Polygonatum,biflorum,,Polygonatum biflorum
Maianthemum stellatum,TRUE,FALSE,Maianthemum stellatum,species,A,Asparagaceae,Maianthemum,stellatum,,Maianthemum stellatum
Maianthemum canadense,TRUE,FALSE,Maianthemum canadense,species,A,Asparagaceae,Maianthemum,canadense,,Maianthemum canadense
Platanthera lacera,TRUE,FALSE,Platanthera lacera,species,A,Orchidaceae,Platanthera,lacera,,Platanthera lacera
Uvularia sessilifolia,TRUE,FALSE,Uvularia sessilifolia,species,A,Colchicaceae,Uvularia,sessilifolia,,Uvularia sessilifolia
Streptopus lanceolatus,TRUE,FALSE,Streptopus lanceolatus,species,A,Liliaceae,Streptopus,lanceolatus,,Streptopus lanceolatus
Smilax herbacea,TRUE,FALSE,Smilax herbacea,species,A,Smilacaceae,Smilax,herbacea,,Smilax herbacea
Parthenocissus inserta,TRUE,FALSE,Parthenocissus quinquefolia,species,A,Vitaceae,Parthenocissus,quinquefolia,Synonym,Parthenocissus quinquefolia
Vitis vulpina,TRUE,FALSE,Vitis vulpina,species,A,Vitaceae,Vitis,vulpina,,Vitis vulpina
Vitis riparia,TRUE,FALSE,Vitis riparia,species,A,Vitaceae,Vitis,riparia,,Vitis riparia
Parthenocissus quinquefolia,TRUE,FALSE,Parthenocissus quinquefolia,species,A,Vitaceae,Parthenocissus,quinquefolia,,Parthenocissus quinquefolia
Micranthes pensylvanica,TRUE,FALSE,Micranthes pensylvanica,species,A,Saxifragaceae,Micranthes,pensylvanica,,Micranthes pensylvanica
Heuchera richardsonii,TRUE,FALSE,Heuchera richardsonii,species,A,Saxifragaceae,Heuchera,richardsonii,,Heuchera richardsonii
Ribes hirtellum,TRUE,FALSE,Ribes hirtellum,species,A,Grossulariaceae,Ribes,hirtellum,,Ribes hirtellum
Penthorum sedoides,TRUE,FALSE,Penthorum sedoides,species,A,Penthoraceae,Penthorum,sedoides,,Penthorum sedoides
Rosa carolina,TRUE,FALSE,Rosa carolina,species,A,Rosaceae,Rosa,carolina,,Rosa carolina
Rosa arkansana,TRUE,FALSE,Rosa arkansana,species,A,Rosaceae,Rosa,arkansana,,Rosa arkansana
Rosa blanda,TRUE,FALSE,Rosa blanda,species,A,Rosaceae,Rosa,blanda,,Rosa blanda
Potentilla simplex,TRUE,FALSE,Potentilla simplex,species,A,Rosaceae,Potentilla,simplex,,Potentilla simplex
Potentilla norvegica,TRUE,FALSE,Potentilla norvegica,species,A,Rosaceae,Potentilla,norvegica,,Potentilla norvegica
Potentilla recta,TRUE,FALSE,Potentilla recta,species,A,Rosaceae,Potentilla,recta,,Potentilla recta
Potentilla argentea,TRUE,FALSE,Potentilla argentea,species,A,Rosaceae,Potentilla,argentea,,Potentilla argentea
Comarum palustre,TRUE,FALSE,Comarum palustre,species,A,Rosaceae,Comarum,palustre,,Comarum palustre
Drymocallis arguta,TRUE,FALSE,Drymocallis arguta,species,A,Rosaceae,Drymocallis,arguta,,Drymocallis arguta
Fragaria vesca,TRUE,FALSE,Fragaria vesca,species,A,Rosaceae,Fragaria,vesca,,Fragaria vesca
Fragaria virginiana,TRUE,FALSE,Fragaria virginiana,species,A,Rosaceae,Fragaria,virginiana,,Fragaria virginiana
Rubus idaeus,TRUE,FALSE,Rubus idaeus,species,A,Rosaceae,Rubus,idaeus,,Rubus idaeus
Rubus pubescens,TRUE,FALSE,Rubus pubescens,species,A,Rosaceae,Rubus,pubescens,,Rubus pubescens
Rubus occidentalis,TRUE,FALSE,Rubus occidentalis,species,A,Rosaceae,Rubus,occidentalis,,Rubus occidentalis
Rubus flagellaris,TRUE,FALSE,Rubus flagellaris,species,A,Rosaceae,Rubus,flagellaris,,Rubus flagellaris
Rubus canadensis,TRUE,FALSE,Rubus canadensis,species,A,Rosaceae,Rubus,canadensis,,Rubus canadensis
Rubus allegheniensis,TRUE,FALSE,Rubus allegheniensis,species,A,Rosaceae,Rubus,allegheniensis,,Rubus allegheniensis
Prunus americana,TRUE,FALSE,Prunus americana,species,A,Rosaceae,Prunus,americana,,Prunus americana
Prunus pensylvanica,TRUE,FALSE,Prunus pensylvanica,species,A,Rosaceae,Prunus,pensylvanica,,Prunus pensylvanica
Prunus pumila,TRUE,FALSE,Prunus pumila,species,A,Rosaceae,Prunus,pumila,,Prunus pumila
Prunus virginiana,TRUE,FALSE,Prunus virginiana,species,A,Rosaceae,Prunus,virginiana,,Prunus virginiana
Prunus serotina,TRUE,FALSE,Prunus serotina,species,A,Rosaceae,Prunus,serotina,,Prunus serotina
Amelanchier laevis,TRUE,FALSE,Amelanchier laevis,species,A,Rosaceae,Amelanchier,laevis,,Amelanchier laevis
Amelanchier alnifolia,TRUE,FALSE,Amelanchier alnifolia,species,A,Rosaceae,Amelanchier,alnifolia,,Amelanchier alnifolia
Amelanchier sanguinea,TRUE,FALSE,Amelanchier sanguinea,species,A,Rosaceae,Amelanchier,sanguinea,,Amelanchier sanguinea
Amelanchier interior,TRUE,FALSE,Amelanchier interior,species,A,Rosaceae,Amelanchier,interior,,Amelanchier interior
Malus domestica,TRUE,FALSE,Malus domestica,species,A,Rosaceae,Malus,domestica,,Malus domestica
Amelanchier arborea,TRUE,FALSE,Amelanchier arborea,species,A,Rosaceae,Amelanchier,arborea,,Amelanchier arborea
Aronia melanocarpa,TRUE,FALSE,Aronia melanocarpa,species,A,Rosaceae,Aronia,melanocarpa,,Aronia melanocarpa
Spiraea tomentosa,TRUE,FALSE,Spiraea tomentosa,species,A,Rosaceae,Spiraea,tomentosa,,Spiraea tomentosa
Spiraea alba,TRUE,FALSE,Spiraea alba,species,A,Rosaceae,Spiraea,alba,,Spiraea alba
Elymus smithii,TRUE,FALSE,Elymus smithii,species,A,Poaceae,Elymus,smithii,,Elymus smithii
Parogonum ciliinode,TRUE,TRUE,Acacia subtessarogona,species,A,Fabaceae,Acacia,subtessarogona,Synonym,Acacia subtessarogona
Ceanothus americanus,TRUE,FALSE,Ceanothus americanus,species,A,Rhamnaceae,Ceanothus,americanus,,Ceanothus americanus
