sciname_NO_Phylogeny,Matched,Fuzzy,scientificName,taxonRank,majorGroup,family_WFO,genus_WFO,specificEpithet,Old.status,sciname_IN_WFO,tipLabel,IN_Phylogeny
Acer sp.,TRUE,FALSE,Acer,genus,A,Sapindaceae,Acer,sp.,,Acer sp.,Acer_sp.,0
Achillea sp.,TRUE,FALSE,Achillea,genus,A,Asteraceae,Achillea,sp.,,Achillea sp.,Achillea_sp.,0
Agrimonia sp.,TRUE,FALSE,Agrimonia,genus,A,Rosaceae,Agrimonia,sp.,,Agrimonia sp.,Agrimonia_sp.,0
Agrostis sp.,TRUE,FALSE,Agrostis,genus,A,Poaceae,Agrostis,sp.,,Agrostis sp.,Agrostis_sp.,0
Allium sp.,TRUE,FALSE,Allium,genus,A,Amaryllidaceae,Allium,sp.,,Allium sp.,Allium_sp.,0
Amelanchier spicata,TRUE,FALSE,Amelanchier spicata,species,A,Rosaceae,Amelanchier,spicata,,Amelanchier spicata,Amelanchier_spicata,0
Amelanchier sp.,TRUE,FALSE,Amelanchier,genus,A,Rosaceae,Amelanchier,sp.,,Amelanchier sp.,Amelanchier_sp.,0
Anemone patens,TRUE,FALSE,Pulsatilla patens,species,A,Ranunculaceae,Pulsatilla,patens,Synonym,Pulsatilla patens,Pulsatilla_patens,0
Antennaria sp.,TRUE,FALSE,Antennaria,genus,A,Asteraceae,Antennaria,sp.,,Antennaria sp.,Antennaria_sp.,0
Gymnema sp.,TRUE,FALSE,Gymnema,genus,A,Apocynaceae,Gymnema,sp.,,Gymnema sp.,Gymnema_sp.,0
Arabis divaricarpa,TRUE,FALSE,Boechera divaricarpa,species,A,Brassicaceae,Boechera,divaricarpa,Synonym,Boechera divaricarpa,Boechera_divaricarpa,0
Arabis sp.,TRUE,FALSE,Arabis,genus,A,Brassicaceae,Arabis,sp.,,Arabis sp.,Arabis_sp.,0
Aristida sp.,TRUE,FALSE,Aristida,genus,A,Poaceae,Aristida,sp.,,Aristida sp.,Aristida_sp.,0
Artemisia sp.,TRUE,FALSE,Artemisia,genus,A,Asteraceae,Artemisia,sp.,,Artemisia sp.,Artemisia_sp.,0
Asclepias sp.,TRUE,FALSE,Asclepias,genus,A,Apocynaceae,Asclepias,sp.,,Asclepias sp.,Asclepias_sp.,0
Aster sp.,TRUE,FALSE,Aster,genus,A,Asteraceae,Aster,sp.,,Aster sp.,Aster_sp.,0
Athyrium filix-femina,TRUE,FALSE,Athyrium filix-femina,species,P,Aspleniaceae,Athyrium,filix-femina,,Athyrium filix-femina,Athyrium_filix-femina,0
Bidens sp.,TRUE,FALSE,Bidens,genus,A,Asteraceae,Bidens,sp.,,Bidens sp.,Bidens_sp.,0
Botrychium sp.,TRUE,FALSE,Botrychium,genus,P,Ophioglossaceae,Botrychium,sp.,,Botrychium sp.,Botrychium_sp.,0
Chondrosum hirsutum,TRUE,FALSE,Chondrosum hirsutum,species,A,Poaceae,Chondrosum,hirsutum,,Chondrosum hirsutum,Chondrosum_hirsutum,0
Bouteloua sp.,TRUE,FALSE,Bouteloua,genus,A,Poaceae,Bouteloua,sp.,,Bouteloua sp.,Bouteloua_sp.,0
Bromus sp.,TRUE,FALSE,Bromus,genus,A,Poaceae,Bromus,sp.,,Bromus sp.,Bromus_sp.,0
Buchloe dactyloides,TRUE,FALSE,Buchloe dactyloides,species,,,Buchloe,dactyloides,,Buchloe dactyloides,Buchloe_dactyloides,0
Calamagrostis inexpansa,TRUE,FALSE,Calamagrostis inexpansa,species,A,Poaceae,Calamagrostis,inexpansa,,Calamagrostis inexpansa,Calamagrostis_inexpansa,0
Calamagrostis sp.,TRUE,FALSE,Calamagrostis,genus,A,Poaceae,Calamagrostis,sp.,,Calamagrostis sp.,Calamagrostis_sp.,0
Calamovilfa longifolia,TRUE,FALSE,Calamovilfa longifolia,species,A,Poaceae,Calamovilfa,longifolia,,Calamovilfa longifolia,Calamovilfa_longifolia,0
Sporobolus sp.,TRUE,FALSE,Sporobolus,genus,A,Poaceae,Sporobolus,sp.,,Sporobolus sp.,Sporobolus_sp.,0
Campanula aparinoides,TRUE,FALSE,Campanula aparinoides,species,A,Campanulaceae,Campanula,aparinoides,,Campanula aparinoides,Campanula_aparinoides,0
Campanula sp.,TRUE,FALSE,Campanula,genus,A,Campanulaceae,Campanula,sp.,,Campanula sp.,Campanula_sp.,0
Combretum sp.,TRUE,FALSE,Combretum,genus,A,Combretaceae,Combretum,sp.,,Combretum sp.,Combretum_sp.,0
Carex sp.,TRUE,FALSE,Carex,genus,A,Cyperaceae,Carex,sp.,,Carex sp.,Carex_sp.,0
Chenopodium hybridum,TRUE,FALSE,Chenopodium hybridum,species,A,Amaranthaceae,Chenopodium,hybridum,,Chenopodium hybridum,Chenopodium_hybridum,0
Chenopodium sp.,TRUE,FALSE,Chenopodium,genus,A,Amaranthaceae,Chenopodium,sp.,,Chenopodium sp.,Chenopodium_sp.,0
Cirsium sp.,TRUE,FALSE,Cirsium,genus,A,Asteraceae,Cirsium,sp.,,Cirsium sp.,Cirsium_sp.,0
Colladonia sp.,TRUE,FALSE,Heptaptera,genus,A,Apiaceae,Heptaptera,sp.,Synonym,Heptaptera sp.,Heptaptera_sp.,0
Cornus sp.,TRUE,FALSE,Cornus,genus,A,Cornaceae,Cornus,sp.,,Cornus sp.,Cornus_sp.,0
Cycloloma atriplicifolium,TRUE,FALSE,Cycloloma atriplicifolium,species,A,Amaranthaceae,Cycloloma,atriplicifolium,,Cycloloma atriplicifolium,Cycloloma_atriplicifolium,0
Cyperus sp.,TRUE,FALSE,Cyperus,genus,A,Cyperaceae,Cyperus,sp.,,Cyperus sp.,Cyperus_sp.,0
Desmodium glutinosum,TRUE,FALSE,Hylodesmum glutinosum,species,A,Fabaceae,Hylodesmum,glutinosum,Synonym,Hylodesmum glutinosum,Hylodesmum_glutinosum,0
Digitaria sp.,TRUE,FALSE,Digitaria,genus,A,Poaceae,Digitaria,sp.,,Digitaria sp.,Digitaria_sp.,0
Dryopteris cristata,TRUE,FALSE,Dryopteris cristata,species,P,Dryopteridaceae,Dryopteris,cristata,,Dryopteris cristata,Dryopteris_cristata,0
Dryopteris carthusiana,TRUE,FALSE,Dryopteris carthusiana,species,P,Dryopteridaceae,Dryopteris,carthusiana,,Dryopteris carthusiana,Dryopteris_carthusiana,0
Eleocharis sp.,TRUE,FALSE,Eleocharis,genus,A,Cyperaceae,Eleocharis,sp.,,Eleocharis sp.,Eleocharis_sp.,0
Elymus trachycaulus,TRUE,FALSE,Elymus trachycaulus,species,A,Poaceae,Elymus,trachycaulus,,Elymus trachycaulus,Elymus_trachycaulus,0
Epilobium sp.,TRUE,FALSE,Epilobium,genus,A,Onagraceae,Epilobium,sp.,,Epilobium sp.,Epilobium_sp.,0
Equisetum arvense,TRUE,FALSE,Equisetum arvense,species,P,Equisetaceae,Equisetum,arvense,,Equisetum arvense,Equisetum_arvense,0
Equisetum hyemale,TRUE,FALSE,Equisetum hyemale,species,P,Equisetaceae,Equisetum,hyemale,,Equisetum hyemale,Equisetum_hyemale,0
Equisetum laevigatum,TRUE,FALSE,Equisetum laevigatum,species,P,Equisetaceae,Equisetum,laevigatum,,Equisetum laevigatum,Equisetum_laevigatum,0
Equisetum sp.,TRUE,FALSE,Equisetum,genus,P,Equisetaceae,Equisetum,sp.,,Equisetum sp.,Equisetum_sp.,0
Erechtites hieracifolia,TRUE,FALSE,Erechtites hieracifolia,species,A,Asteraceae,Erechtites,hieracifolia,,Erechtites hieracifolia,Erechtites_hieracifolia,0
Erigeron sp.,TRUE,FALSE,Erigeron,genus,A,Asteraceae,Erigeron,sp.,,Erigeron sp.,Erigeron_sp.,0
Eupatorium maculatum,TRUE,FALSE,Eutrochium maculatum,species,A,Asteraceae,Eutrochium,maculatum,Synonym,Eutrochium maculatum,Eutrochium_maculatum,0
Ageratina liebmannii,TRUE,FALSE,Ageratina liebmannii,species,A,Asteraceae,Ageratina,liebmannii,,Ageratina liebmannii,Ageratina_liebmannii,0
Euphorbia sp.,TRUE,FALSE,Euphorbia,genus,A,Euphorbiaceae,Euphorbia,sp.,,Euphorbia sp.,Euphorbia_sp.,0
Festuca sp.,TRUE,FALSE,Festuca,genus,A,Poaceae,Festuca,sp.,,Festuca sp.,Festuca_sp.,0
Fragaria sp.,TRUE,FALSE,Fragaria,genus,A,Rosaceae,Fragaria,sp.,,Fragaria sp.,Fragaria_sp.,0
Galium sp.,TRUE,FALSE,Galium,genus,A,Rubiaceae,Galium,sp.,,Galium sp.,Galium_sp.,0
Glyceria sp.,TRUE,FALSE,Glyceria,genus,A,Poaceae,Glyceria,sp.,,Glyceria sp.,Glyceria_sp.,0
Gnaphalium purpureum,TRUE,FALSE,Gamochaeta purpurea,species,A,Asteraceae,Gamochaeta,purpurea,Synonym,Gamochaeta purpurea,Gamochaeta_purpurea,0
Gnaphalium sp.,TRUE,FALSE,Gnaphalium,genus,A,Asteraceae,Gnaphalium,sp.,,Gnaphalium sp.,Gnaphalium_sp.,0
Hieracium crassescens,TRUE,FALSE,Hieracium crassescens,species,A,Asteraceae,Hieracium,crassescens,,Hieracium crassescens,Hieracium_crassescens,0
Gymnocarpium dryopteris,TRUE,FALSE,Gymnocarpium dryopteris,species,P,Cystopteridaceae,Gymnocarpium,dryopteris,,Gymnocarpium dryopteris,Gymnocarpium_dryopteris,0
Helianthemum bicknellii,TRUE,FALSE,Crocanthemum bicknellii,species,A,Cistaceae,Crocanthemum,bicknellii,Synonym,Crocanthemum bicknellii,Crocanthemum_bicknellii,0
Helianthus laetiflorus,TRUE,FALSE,Helianthus laetiflorus,species,A,Asteraceae,Helianthus,laetiflorus,,Helianthus laetiflorus,Helianthus_laetiflorus,0
Helianthus sp.,TRUE,FALSE,Helianthus,genus,A,Asteraceae,Helianthus,sp.,,Helianthus sp.,Helianthus_sp.,0
Hieracium longipilum,TRUE,FALSE,Pilosella longipila,species,A,Asteraceae,Pilosella,longipila,Synonym,Pilosella longipila,Pilosella_longipila,0
Hieracium sp.,TRUE,FALSE,Hieracium,genus,A,Asteraceae,Hieracium,sp.,,Hieracium sp.,Hieracium_sp.,0
Hierochloe odorata,TRUE,FALSE,Hierochloe odorata,species,A,Poaceae,Hierochloe,odorata,,Hierochloe odorata,Hierochloe_odorata,0
Ilex sp.,TRUE,FALSE,Ilex,genus,A,Aquifoliaceae,Ilex,sp.,,Ilex sp.,Ilex_sp.,0
Juncus sp.,TRUE,FALSE,Juncus,genus,A,Juncaceae,Juncus,sp.,,Juncus sp.,Juncus_sp.,0
Juniperus sp.,TRUE,FALSE,Juniperus,genus,G,Cupressaceae,Juniperus,sp.,,Juniperus sp.,Juniperus_sp.,0
Koeleria micrathera,TRUE,FALSE,Koeleria micrathera,species,A,Poaceae,Koeleria,micrathera,,Koeleria micrathera,Koeleria_micrathera,0
Lactuca sp.,TRUE,FALSE,Lactuca,genus,A,Asteraceae,Lactuca,sp.,,Lactuca sp.,Lactuca_sp.,0
Leavenworthia sp.,TRUE,FALSE,Leavenworthia,genus,A,Brassicaceae,Leavenworthia,sp.,,Leavenworthia sp.,Leavenworthia_sp.,0
Lemna sp.,TRUE,FALSE,Lemna,genus,A,Araceae,Lemna,sp.,,Lemna sp.,Lemna_sp.,0
Lepidium sp.,TRUE,FALSE,Lepidium,genus,A,Brassicaceae,Lepidium,sp.,,Lepidium sp.,Lepidium_sp.,0
Lichtensteinia sp.,TRUE,FALSE,Lichtensteinia,genus,A,Apiaceae,Lichtensteinia,sp.,,Lichtensteinia sp.,Lichtensteinia_sp.,0
Lithospermum sp.,TRUE,FALSE,Lithospermum,genus,A,Boraginaceae,Lithospermum,sp.,,Lithospermum sp.,Lithospermum_sp.,0
Lupinus sp.,TRUE,FALSE,Lupinus,genus,A,Fabaceae,Lupinus,sp.,,Lupinus sp.,Lupinus_sp.,0
Lycopodium complanatum,TRUE,FALSE,Lycopodium complanatum,species,P,Lycopodiaceae,Lycopodium,complanatum,,Lycopodium complanatum,Lycopodium_complanatum,0
Lycopus sp.,TRUE,FALSE,Lycopus,genus,A,Lamiaceae,Lycopus,sp.,,Lycopus sp.,Lycopus_sp.,0
Medicago sp.,TRUE,FALSE,Medicago,genus,A,Fabaceae,Medicago,sp.,,Medicago sp.,Medicago_sp.,0
Melilotus sp.,TRUE,FALSE,Melilotus,genus,A,Fabaceae,Melilotus,sp.,,Melilotus sp.,Melilotus_sp.,0
Mirabilis hirsuta,TRUE,FALSE,Mirabilis hirsuta,species,A,Nyctaginaceae,Mirabilis,hirsuta,,Mirabilis hirsuta,Mirabilis_hirsuta,0
Miscanthus giganteus,TRUE,FALSE,Miscanthus longiberbis,species,A,Poaceae,Miscanthus,longiberbis,Synonym,Miscanthus longiberbis,Miscanthus_longiberbis,0
Carex lativena,TRUE,FALSE,Carex lativena,species,A,Cyperaceae,Carex,lativena,,Carex lativena,Carex_lativena,0
Oenothera sp.,TRUE,FALSE,Oenothera,genus,A,Onagraceae,Oenothera,sp.,,Oenothera sp.,Oenothera_sp.,0
Onoclea sensibilis,TRUE,FALSE,Onoclea sensibilis,species,P,Onocleaceae,Onoclea,sensibilis,,Onoclea sensibilis,Onoclea_sensibilis,0
Osmundastrum cinnamomeum,TRUE,FALSE,Osmundastrum cinnamomeum,species,P,Osmundaceae,Osmundastrum,cinnamomeum,,Osmundastrum cinnamomeum,Osmundastrum_cinnamomeum,0
Osmunda claytoniana,TRUE,FALSE,Osmundastrum claytonianum,species,P,Osmundaceae,Osmundastrum,claytonianum,Synonym,Osmundastrum claytonianum,Osmundastrum_claytonianum,0
Osmunda regalis,TRUE,FALSE,Osmunda regalis,species,P,Osmundaceae,Osmunda,regalis,,Osmunda regalis,Osmunda_regalis,0
Oxalis sp.,TRUE,FALSE,Oxalis,genus,A,Oxalidaceae,Oxalis,sp.,,Oxalis sp.,Oxalis_sp.,0
Panicum acuminatum,TRUE,FALSE,Panicum acuminatum,species,A,Poaceae,Panicum,acuminatum,,Panicum acuminatum,Panicum_acuminatum,0
Panicum leibergii,TRUE,FALSE,Panicum leibergii,species,A,Poaceae,Panicum,leibergii,,Panicum leibergii,Panicum_leibergii,0
Panicum oligosanthes,TRUE,FALSE,Panicum oligosanthes,species,A,Poaceae,Panicum,oligosanthes,,Panicum oligosanthes,Panicum_oligosanthes,0
