kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed
Plantae,Tracheophyta,G,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgoaceae,Ginkgo,Ginkgo,biloba,Ginkgo biloba,Ginkgo biloba,Ginkgo_biloba,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Achillea,Achillea,millefolium,Achillea millefolium,Achillea millefolium,Achillea_millefolium,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Amphicarpaea,Amphicarpaea,bracteata,Amphicarpaea bracteata,Amphicarpaea bracteata,Amphicarpaea_bracteata,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Apocynum,Apocynum,androsaemifolium,Apocynum androsaemifolium,Apocynum androsaemifolium,Apocynum_androsaemifolium,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Apocynum,Apocynum,cannabinum,Apocynum cannabinum,Apocynum cannabinum,Apocynum_cannabinum,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Artemisia,Artemisia,ludoviciana,Artemisia ludoviciana,Artemisia ludoviciana,Artemisia_ludoviciana,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,syriaca,Asclepias syriaca,Asclepias syriaca,Asclepias_syriaca,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,verticillata,Asclepias verticillata,Asclepias verticillata,Asclepias_verticillata,1,NO
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Asparagaceae,Asparagaceae,Asparagus,Asparagus,officinalis,Asparagus officinalis,Asparagus officinalis,Asparagus_officinalis,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bromus,Bromus,inermis,Bromus inermis,Bromus inermis,Bromus_inermis,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bromus,Bromus,tectorum,Bromus tectorum,Bromus tectorum,Bromus_tectorum,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Calamagrostis,Calamagrostis,canadensis,Calamagrostis canadensis,Calamagrostis canadensis,Calamagrostis_canadensis,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculaceae,Caltha,Caltha,palustris,Caltha palustris,Caltha palustris,Caltha_palustris,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Campanulaceae,Campanulaceae,Campanula,Campanula,rotundifolia,Campanula rotundifolia,Campanula rotundifolia,Campanula_rotundifolia,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Celastrales,Celastraceae,Celastraceae,Celastrus,Celastrus,scandens,Celastrus scandens,Celastrus scandens,Celastrus_scandens,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Santalales,Comandraceae,Santalaceae,Comandra,Comandra,umbellata,Comandra umbellata,Comandra umbellata,Comandra_umbellata,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Convolvulaceae,Convolvulaceae,Convolvulus,Convolvulus,arvensis,Convolvulus arvensis,Convolvulus arvensis,Convolvulus_arvensis,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Erigeron,Erigeron,canadensis,Erigeron canadensis,Erigeron canadensis,Erigeron_canadensis,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,alternifolia,Cornus alternifolia,Cornus alternifolia,Cornus_alternifolia,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,racemosa,Cornus racemosa,Cornus racemosa,Cornus_racemosa,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,sericea,Cornus sericea,Cornus sericea,Cornus_sericea,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Danthonia,Danthonia,spicata,Danthonia spicata,Danthonia spicata,Danthonia_spicata,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Elymus,Elymus,violaceus,Elymus violaceus,Elymus violaceus,Elymus_violaceus,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Festuca,Festuca,rubra,Festuca rubra,Festuca rubra,Festuca_rubra,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Rubiaceae,Rubiaceae,Galium,Galium,aparine,Galium aparine,Galium aparine,Galium_aparine,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Gentianaceae,Gentianaceae,Gentiana,Gentiana,andrewsii,Gentiana andrewsii,Gentiana andrewsii,Gentiana_andrewsii,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Heliopsis,Heliopsis,helianthoides,Heliopsis helianthoides,Heliopsis helianthoides,Heliopsis_helianthoides,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Ericales,Balsaminaceae,Balsaminaceae,Impatiens,Impatiens,capensis,Impatiens capensis,Impatiens capensis,Impatiens_capensis,1,NO
Plantae,Tracheophyta,G,Pinopsida,Pinales,Cupressaceae,Cupressaceae,Juniperus,Juniperus,communis,Juniperus communis,Juniperus communis,Juniperus_communis,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Lactuca,Lactuca,serriola,Lactuca serriola,Lactuca serriola,Lactuca_serriola,1,NO
Plantae,Tracheophyta,G,Pinopsida,Pinales,Pinaceae,Pinaceae,Larix,Larix,laricina,Larix laricina,Larix laricina,Larix_laricina,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Leersia,Leersia,oryzoides,Leersia oryzoides,Leersia oryzoides,Leersia_oryzoides,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Medicago,Medicago,sativa,Medicago sativa,Medicago sativa,Medicago_sativa,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Molluginaceae,Molluginaceae,Mollugo,Mollugo,verticillata,Mollugo verticillata,Mollugo verticillata,Mollugo_verticillata,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,Monarda,Monarda,fistulosa,Monarda fistulosa,Monarda fistulosa,Monarda_fistulosa,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,Nepeta,Nepeta,cataria,Nepeta cataria,Nepeta cataria,Nepeta_cataria,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalidaceae,Oxalis,Oxalis,stricta,Oxalis stricta,Oxalis stricta,Oxalis_stricta,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Plantaginaceae,Plantaginaceae,Penstemon,Penstemon,gracilis,Penstemon gracilis,Penstemon gracilis,Penstemon_gracilis,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Saxifragales,Penthoraceae,Penthoraceae,Penthorum,Penthorum,sedoides,Penthorum sedoides,Penthorum sedoides,Penthorum_sedoides,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Phleum,Phleum,pratense,Phleum pratense,Phleum pratense,Phleum_pratense,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Phrymaceae,Phrymaceae,Phryma,Phryma,leptostachya,Phryma leptostachya,Phryma leptostachya,Phryma_leptostachya,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Physalis,Physalis,pubescens,Physalis pubescens,Physalis pubescens,Physalis_pubescens,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Physalis,Physalis,virginiana,Physalis virginiana,Physalis virginiana,Physalis_virginiana,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Plantaginaceae,Plantaginaceae,Plantago,Plantago,lanceolata,Plantago lanceolata,Plantago lanceolata,Plantago_lanceolata,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Persicaria,amphibia,Persicaria amphibia,Persicaria amphibia,Persicaria_amphibia,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Polygonum,thunbergii,Polygonum thunbergii,Persicaria thunbergii,Persicaria_thunbergii,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Persicaria,hydropiper,Persicaria hydropiper,Persicaria hydropiper,Persicaria_hydropiper,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Persicaria,maculosa,Persicaria maculosa,Persicaria maculosa,Persicaria_maculosa,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Salicaceae,Salicaceae,Populus,Populus,tremuloides,Populus tremuloides,Populus tremuloides,Populus_tremuloides,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Portulacaceae,Portulacaceae,Portulaca,Portulaca,oleracea,Portulaca oleracea,Portulaca oleracea,Portulaca_oleracea,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Malus,Malus,domestica,Malus domestica,Malus domestica,Malus_domestica,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rhamnaceae,Rhamnaceae,Rhamnus,Rhamnus,cathartica,Rhamnus cathartica,Rhamnus cathartica,Rhamnus_cathartica,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Sapindales,Anacardiaceae,Anacardiaceae,Rhus,Rhus,typhina,Rhus typhina,Rhus typhina,Rhus_typhina,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Rudbeckia,Rudbeckia,hirta,Rudbeckia hirta,Rudbeckia hirta,Rudbeckia_hirta,1,NO
Plantae,Tracheophyta,A,Liliopsida,Alismatales,Alismataceae,Alismataceae,Sagittaria,Sagittaria,latifolia,Sagittaria latifolia,Sagittaria latifolia,Sagittaria_latifolia,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Cenchrus,Cenchrus,americanus,Cenchrus americanus,Cenchrus americanus,Cenchrus_americanus,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Caryophyllaceae,Caryophyllaceae,Silene,Silene,antirrhina,Silene antirrhina,Silene antirrhina,Silene_antirrhina,1,NO
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Asparagaceae,Asparagaceae,Maianthemum,Maianthemum,racemosum,Maianthemum racemosum,Maianthemum racemosum,Maianthemum_racemosum,1,NO
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Asparagaceae,Asparagaceae,Maianthemum,Maianthemum,stellatum,Maianthemum stellatum,Maianthemum stellatum,Maianthemum_stellatum,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Solanum,Solanum,carolinense,Solanum carolinense,Solanum carolinense,Solanum_carolinense,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Solanum,Solanum,nigrum,Solanum nigrum,Solanum nigrum,Solanum_nigrum,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Solidago,Solidago,canadensis,Solidago canadensis,Solidago canadensis,Solidago_canadensis,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Solidago,Solidago,missouriensis,Solidago missouriensis,Solidago missouriensis,Solidago_missouriensis,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Caryophyllaceae,Caryophyllaceae,Stellaria,Stellaria,media,Stellaria media,Stellaria media,Stellaria_media,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Dipsacales,Caprifoliaceae,Caprifoliaceae,Symphoricarpos,Symphoricarpos,occidentalis,Symphoricarpos occidentalis,Symphoricarpos occidentalis,Symphoricarpos_occidentalis,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Typhaceae,Typhaceae,Typha,Typha,angustifolia,Typha angustifolia,Typha angustifolia,Typha_angustifolia,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Typhaceae,Typhaceae,Typha,Typha,latifolia,Typha latifolia,Typha latifolia,Typha_latifolia,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Urticaceae,Urticaceae,Urtica,Urtica,dioica,Urtica dioica,Urtica dioica,Urtica_dioica,1,NO
Plantae,Tracheophyta,A,Liliopsida,Liliales,Colchicaceae,Colchicaceae,Uvularia,Uvularia,sessilifolia,Uvularia sessilifolia,Uvularia sessilifolia,Uvularia_sessilifolia,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Scrophulariaceae,Scrophulariaceae,Verbascum,Verbascum,thapsus,Verbascum thapsus,Verbascum thapsus,Verbascum_thapsus,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Verbenaceae,Verbenaceae,Verbena,Verbena,bracteata,Verbena bracteata,Verbena bracteata,Verbena_bracteata,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Verbenaceae,Verbenaceae,Verbena,Verbena,hastata,Verbena hastata,Verbena hastata,Verbena_hastata,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Apiales,Apiaceae,Apiaceae,Zizia,Zizia,aurea,Zizia aurea,Zizia aurea,Zizia_aurea,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbiaceae,Euphorbia,Euphorbia,maculata,Euphorbia maculata,Euphorbia maculata,Euphorbia_maculata,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Physalis,Physalis,heterophylla,Physalis heterophylla,Physalis heterophylla,Physalis_heterophylla,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Plantaginaceae,Plantaginaceae,Plantago,Plantago,patagonica,Plantago patagonica,Plantago patagonica,Plantago_patagonica,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Taraxacum,Taraxacum,officinale,Taraxacum officinale,Taraxacum officinale,Taraxacum_officinale,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Tragopogon,Tragopogon,dubius,Tragopogon dubius,Tragopogon dubius,Tragopogon_dubius,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Vitales,Vitaceae,Vitaceae,Vitis,Vitis,riparia,Vitis riparia,Vitis riparia,Vitis_riparia,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Sapindales,Sapindaceae,Sapindaceae,Acer,Acer,negundo,Acer negundo,Acer negundo,Acer_negundo,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Sapindales,Sapindaceae,Sapindaceae,Acer,Acer,rubrum,Acer rubrum,Acer rubrum,Acer_rubrum,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,Agastache,Agastache,foeniculum,Agastache foeniculum,Agastache foeniculum,Agastache_foeniculum,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Elymus,Elymus,repens,Elymus repens,Elymus repens,Elymus_repens,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Elymus,Elymus,smithii,Elymus smithii,Elymus smithii,Elymus_smithii,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Poa,Poa,nemoralis,Poa nemoralis,Poa nemoralis,Poa_nemoralis,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Agrostis,Agrostis,scabra,Agrostis scabra,Agrostis scabra,Agrostis_scabra,1,NO
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Amaryllidaceae,Amaryllidaceae,Allium,Allium,cernuum,Allium cernuum,Allium cernuum,Allium_cernuum,1,NO
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Amaryllidaceae,Amaryllidaceae,Allium,Allium,stellatum,Allium stellatum,Allium stellatum,Allium_stellatum,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Fagales,Betulaceae,Betulaceae,Alnus,Alnus,incana,Alnus incana,Alnus incana,Alnus_incana,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthaceae,Amaranthus,Amaranthus,retroflexus,Amaranthus retroflexus,Amaranthus retroflexus,Amaranthus_retroflexus,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Ambrosia,Ambrosia,artemisiifolia,Ambrosia artemisiifolia,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Ambrosia,Ambrosia,psilostachya,Ambrosia psilostachya,Ambrosia psilostachya,Ambrosia_psilostachya,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Amelanchier,Amelanchier,alnifolia,Amelanchier alnifolia,Amelanchier alnifolia,Amelanchier_alnifolia,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Amelanchier,Amelanchier,arborea,Amelanchier arborea,Amelanchier arborea,Amelanchier_arborea,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Amelanchier,Amelanchier,laevis,Amelanchier laevis,Amelanchier laevis,Amelanchier_laevis,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Amelanchier,Amelanchier,sanguinea,Amelanchier sanguinea,Amelanchier sanguinea,Amelanchier_sanguinea,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Amorpha,Amorpha,canescens,Amorpha canescens,Amorpha canescens,Amorpha_canescens,1,NO
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Andropogon,Andropogon,gerardii,Andropogon gerardii,Andropogon gerardi,Andropogon_gerardi,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculaceae,Anemone,Anemone,cylindrica,Anemone cylindrica,Anemone cylindrica,Anemone_cylindrica,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculaceae,Anemone,Anemone,quinquefolia,Anemone quinquefolia,Anemone quinquefolia,Anemone_quinquefolia,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculaceae,Anemone,Anemone,virginiana,Anemone virginiana,Anemone virginiana,Anemone_virginiana,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Antennaria,Antennaria,parlinii,Antennaria parlinii,Antennaria parlinii,Antennaria_parlinii,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Antennaria,Antennaria,neglecta,Antennaria neglecta,Antennaria neglecta,Antennaria_neglecta,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Antennaria,Antennaria,plantaginifolia,Antennaria plantaginifolia,Antennaria plantaginifolia,Antennaria_plantaginifolia,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculaceae,Aquilegia,Aquilegia,canadensis,Aquilegia canadensis,Aquilegia canadensis,Aquilegia_canadensis,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Brassicales,Brassicaceae,Brassicaceae,Turritis,Turritis,glabra,Turritis glabra,Turritis glabra,Turritis_glabra,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Brassicales,Brassicaceae,Brassicaceae,Arabis,Arabis,hirsuta,Arabis hirsuta,Arabis hirsuta,Arabis_hirsuta,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Apiales,Araliaceae,Araliaceae,Aralia,Aralia,nudicaulis,Aralia nudicaulis,Aralia nudicaulis,Aralia_nudicaulis,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Caryophyllaceae,Caryophyllaceae,Moehringia,Moehringia,lateriflora,Moehringia lateriflora,Moehringia lateriflora,Moehringia_lateriflora,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Aronia,Aronia,melanocarpa,Aronia melanocarpa,Aronia melanocarpa,Aronia_melanocarpa,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,exaltata,Asclepias exaltata,Asclepias exaltata,Asclepias_exaltata,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,incarnata,Asclepias incarnata,Asclepias incarnata,Asclepias_incarnata,1,NO
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,ovalifolia,Asclepias ovalifolia,Asclepias ovalifolia,Asclepias_ovalifolia,1,NO
